optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
clifford_simp,q4_gates100_pt0.0_seeds1000,25,14,0,12,3,0,10,0.007125377655029297
clifford_simp,q4_gates100_pt0.04_seeds1000,41,34,4,14,6,5,12,0.006505727767944336
clifford_simp,q4_gates100_pt0.08_seeds1000,52,38,8,20,3,3,18,0.005759000778198242
clifford_simp,q4_gates100_pt0.12_seeds1000,58,37,10,24,1,3,20,0.0069544315338134766
clifford_simp,q4_gates100_pt0.16_seeds1000,66,46,10,23,5,5,23,0.005284786224365234
clifford_simp,q4_gates100_pt0.2_seeds1000,56,36,9,20,3,2,22,0.004871845245361328
clifford_simp,q4_gates100_pt0.24_seeds1000,61,44,10,24,4,5,18,0.005357027053833008
clifford_simp,q4_gates100_pt0.28_seeds1000,49,39,7,17,5,3,17,0.004624366760253906
clifford_simp,q4_gates100_pt0.32_seeds1000,55,36,10,18,4,3,20,0.0042040348052978516
clifford_simp,q4_gates100_pt0.36_seeds1000,52,38,9,22,3,6,12,0.005047798156738281
clifford_simp,q4_gates100_pt0.4_seeds1000,59,49,11,21,1,6,20,0.005068540573120117
clifford_simp,q4_gates500_pt0.0_seeds1000,25,16,0,10,6,1,8,0.028290510177612305
clifford_simp,q4_gates500_pt0.04_seeds1000,87,74,17,26,5,18,21,0.027257680892944336
clifford_simp,q4_gates500_pt0.08_seeds1000,162,127,37,50,1,15,59,0.02544236183166504
clifford_simp,q4_gates500_pt0.12_seeds1000,165,121,39,50,1,16,59,0.027292728424072266
clifford_simp,q4_gates500_pt0.16_seeds1000,183,138,42,60,4,22,55,0.027424097061157227
clifford_simp,q4_gates500_pt0.2_seeds1000,196,150,48,63,3,18,64,0.026211261749267578
clifford_simp,q4_gates500_pt0.24_seeds1000,195,142,44,65,7,10,69,0.022543668746948242
clifford_simp,q4_gates500_pt0.28_seeds1000,224,152,57,76,5,13,73,0.02137470245361328
clifford_simp,q4_gates500_pt0.32_seeds1000,215,159,51,69,5,8,82,0.03630971908569336
clifford_simp,q4_gates500_pt0.36_seeds1000,217,167,49,68,1,16,83,0.021750211715698242
clifford_simp,q4_gates500_pt0.4_seeds1000,199,161,49,59,2,20,69,0.02092599868774414
clifford_simp,q4_gates1000_pt0.0_seeds1000,18,9,0,8,7,0,3,0.06258678436279297
clifford_simp,q4_gates1000_pt0.04_seeds1000,161,141,34,43,6,27,51,0.05812191963195801
clifford_simp,q4_gates1000_pt0.08_seeds1000,290,235,64,81,9,35,101,0.052215576171875
clifford_simp,q4_gates1000_pt0.12_seeds1000,316,266,75,91,3,37,110,0.05209994316101074
