optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
original,q4_gates100_pt0.0_seeds1000,210,104,0,141,29,0,40,0.007483720779418945
original,q4_gates100_pt0.04_seeds1000,208,103,4,140,25,0,39,0.002524852752685547
original,q4_gates100_pt0.08_seeds1000,205,97,8,137,24,0,36,0.002431631088256836
original,q4_gates100_pt0.12_seeds1000,205,97,10,137,22,0,36,0.0024416446685791016
original,q4_gates100_pt0.16_seeds1000,200,102,14,133,21,0,32,0.0024614334106445312
original,q4_gates100_pt0.2_seeds1000,200,100,17,132,20,0,31,0.0025327205657958984
original,q4_gates100_pt0.24_seeds1000,204,102,18,133,21,0,32,0.002827882766723633
original,q4_gates100_pt0.28_seeds1000,203,98,25,130,19,0,29,0.0026929378509521484
original,q4_gates100_pt0.32_seeds1000,207,95,32,129,18,0,28,0.0025870800018310547
original,q4_gates100_pt0.36_seeds1000,204,94,37,124,18,0,25,0.002557516098022461
original,q4_gates100_pt0.4_seeds1000,206,94,37,123,22,0,24,0.002676725387573242
original,q4_gates500_pt0.0_seeds1000,1046,482,0,693,161,0,192,0.016148805618286133
original,q4_gates500_pt0.04_seeds1000,1041,467,19,684,155,0,183,0.014040708541870117
original,q4_gates500_pt0.08_seeds1000,1036,461,41,671,154,0,170,0.013429880142211914
original,q4_gates500_pt0.12_seeds1000,1030,451,55,666,144,0,165,0.013738393783569336
original,q4_gates500_pt0.16_seeds1000,1020,444,76,655,135,0,154,0.012955188751220703
original,q4_gates500_pt0.2_seeds1000,1012,430,100,643,127,0,142,0.012954950332641602
original,q4_gates500_pt0.24_seeds1000,1014,428,116,640,119,0,139,0.012915372848510742
original,q4_gates500_pt0.28_seeds1000,1013,415,137,632,113,0,131,0.01248311996459961
original,q4_gates500_pt0.32_seeds1000,1015,413,165,624,103,0,123,0.012679338455200195
original,q4_gates500_pt0.36_seeds1000,1013,406,193,610,99,0,111,0.01174306869506836
original,q4_gates500_pt0.4_seeds1000,1014,405,213,603,94,0,104,0.012149810791015625
original,q4_gates1000_pt0.0_seeds1000,2040,926,0,1362,317,0,361,0.030674219131469727
original,q4_gates1000_pt0.04_seeds1000,2045,919,38,1351,306,0,350,0.10498952865600586
original,q4_gates1000_pt0.08_seeds1000,2047,911,74,1335,304,0,334,0.032208919525146484
original,q4_gates1000_pt0.12_seeds1000,2043,898,95,1327,295,0,326,0.030237913131713867
original,q4_gates1000_pt0.16_seeds1000,2023,872,146,1302,274,0,301,0.030007600784301758
original,q4_gates1000_pt0.2_seeds1000,2025,855,190,1288,260,0,287,0.028293609619140625
original,q4_gates1000_pt0.24_seeds1000,2029,845,225,1277,251,0,276,0.02771735191345215
original,q4_gates1000_pt0.28_seeds1000,2028,826,265,1262,240,0,261,0.03171682357788086
original,q4_gates1000_pt0.32_seeds1000,2031,823,327,1244,217,0,243,0.027211904525756836
original,q4_gates1000_pt0.36_seeds1000,2020,784,380,1215,209,0,216,0.027117490768432617
