data_name,qubits,gates,p_t,seeds,depth,tcount,H,S,CNOT,time
q4_gates100_pt0.0_seeds1000,4,100,0.0,1000,58,0,31,29,40,0.004080057144165039
q4_gates100_pt0.04_seeds1000,4,100,0.04,1000,58,4,32,25,39,0.000873565673828125
q4_gates100_pt0.08_seeds1000,4,100,0.08,1000,55,8,32,24,36,0.0006775856018066406
q4_gates100_pt0.12_seeds1000,4,100,0.12,1000,55,10,32,22,36,0.0007183551788330078
q4_gates100_pt0.16_seeds1000,4,100,0.16,1000,57,14,33,21,32,0.0006425380706787109
q4_gates100_pt0.2_seeds1000,4,100,0.2,1000,56,17,32,20,31,0.0008749961853027344
q4_gates100_pt0.24_seeds1000,4,100,0.24,1000,56,18,29,21,32,0.0006117820739746094
q4_gates100_pt0.28_seeds1000,4,100,0.28,1000,53,25,27,19,29,0.0007312297821044922
q4_gates100_pt0.32_seeds1000,4,100,0.32,1000,50,32,22,18,28,0.0007672309875488281
q4_gates100_pt0.36_seeds1000,4,100,0.36,1000,49,37,20,18,25,0.0006868839263916016
q4_gates100_pt0.4_seeds1000,4,100,0.4,1000,49,37,17,22,24,0.0007202625274658203
q4_gates500_pt0.0_seeds1000,4,500,0.0,1000,268,0,147,161,192,0.0030739307403564453
q4_gates500_pt0.04_seeds1000,4,500,0.04,1000,259,19,143,155,183,0.003031015396118164
q4_gates500_pt0.08_seeds1000,4,500,0.08,1000,255,41,135,154,170,0.0029387474060058594
q4_gates500_pt0.12_seeds1000,4,500,0.12,1000,251,55,136,144,165,0.002825498580932617
q4_gates500_pt0.16_seeds1000,4,500,0.16,1000,246,76,135,135,154,0.006629228591918945
q4_gates500_pt0.2_seeds1000,4,500,0.2,1000,239,100,131,127,142,0.0028989315032958984
q4_gates500_pt0.24_seeds1000,4,500,0.24,1000,237,116,126,119,139,0.0027463436126708984
q4_gates500_pt0.28_seeds1000,4,500,0.28,1000,227,137,119,113,131,0.0027556419372558594
q4_gates500_pt0.32_seeds1000,4,500,0.32,1000,224,165,109,103,123,0.0027344226837158203
q4_gates500_pt0.36_seeds1000,4,500,0.36,1000,219,193,97,99,111,0.002740144729614258
q4_gates500_pt0.4_seeds1000,4,500,0.4,1000,217,213,89,94,104,0.002784252166748047
q4_gates1000_pt0.0_seeds1000,4,1000,0.0,1000,521,0,322,317,361,0.005307674407958984
q4_gates1000_pt0.04_seeds1000,4,1000,0.04,1000,513,38,306,306,350,0.00586247444152832
q4_gates1000_pt0.08_seeds1000,4,1000,0.08,1000,506,74,288,304,334,0.0054340362548828125
q4_gates1000_pt0.12_seeds1000,4,1000,0.12,1000,499,95,284,295,326,0.005568742752075195
q4_gates1000_pt0.16_seeds1000,4,1000,0.16,1000,483,146,279,274,301,0.005617380142211914
q4_gates1000_pt0.2_seeds1000,4,1000,0.2,1000,475,190,263,260,287,0.00577855110168457
