optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
original,q4_gates100_pt0.0_seeds1001,100,53,0,29,42,29,0,0.04340004920959473
original,q4_gates100_pt0.04_seeds1001,100,53,1,28,42,29,0,0.00014519691467285156
original,q4_gates100_pt0.08_seeds1001,100,53,8,27,36,29,0,0.00014448165893554688
original,q4_gates100_pt0.12_seeds1001,100,53,12,26,33,29,0,0.0001385211944580078
original,q4_gates100_pt0.16_seeds1001,100,53,18,24,29,29,0,0.00012755393981933594
original,q4_gates100_pt0.2_seeds1001,100,53,22,23,26,29,0,0.0001308917999267578
original,q4_gates100_pt0.24_seeds1001,100,53,25,22,24,29,0,0.00013184547424316406
original,q4_gates100_pt0.28_seeds1001,100,51,30,20,22,28,0,0.00013971328735351562
original,q4_gates100_pt0.32_seeds1001,100,47,39,18,16,27,0,0.00014543533325195312
original,q4_gates100_pt0.36_seeds1001,100,45,44,19,14,23,0,0.0001399517059326172
original,q4_gates100_pt0.4_seeds1001,100,45,47,16,15,22,0,0.0001423358917236328
original,q4_gates500_pt0.0_seeds1001,500,272,0,162,164,174,0,0.0007002353668212891
original,q4_gates500_pt0.04_seeds1001,500,269,11,156,166,167,0,0.0005702972412109375
original,q4_gates500_pt0.08_seeds1001,500,258,46,147,151,156,0,0.0011417865753173828
original,q4_gates500_pt0.12_seeds1001,500,254,66,143,144,147,0,0.0006842613220214844
original,q4_gates500_pt0.16_seeds1001,500,248,84,133,141,142,0,0.000675201416015625
original,q4_gates500_pt0.2_seeds1001,500,243,105,125,133,137,0,0.0006418228149414062
original,q4_gates500_pt0.24_seeds1001,500,236,127,120,120,133,0,0.0006875991821289062
original,q4_gates500_pt0.28_seeds1001,500,232,144,114,113,129,0,0.0006935596466064453
original,q4_gates500_pt0.32_seeds1001,500,228,162,106,106,126,0,0.0006871223449707031
original,q4_gates500_pt0.36_seeds1001,500,227,185,98,95,122,0,0.0006971359252929688
original,q4_gates500_pt0.4_seeds1001,500,227,206,91,83,120,0,0.0009515285491943359
original,q4_gates1000_pt0.0_seeds1001,1000,527,0,330,317,353,0,0.0011148452758789062
original,q4_gates1000_pt0.04_seeds1001,1000,520,28,320,319,333,0,0.001220703125
original,q4_gates1000_pt0.08_seeds1001,1000,511,81,301,298,320,0,0.0011985301971435547
original,q4_gates1000_pt0.12_seeds1001,1000,503,121,290,281,308,0,0.00145721435546875
original,q4_gates1000_pt0.16_seeds1001,1000,488,161,277,266,296,0,0.0013442039489746094
original,q4_gates1000_pt0.2_seeds1001,1000,479,195,263,261,281,0,0.001275777816772461
original,q4_gates1000_pt0.24_seeds1001,1000,469,237,255,244,264,0,0.0012824535369873047
original,q4_gates1000_pt0.28_seeds1001,1000,462,269,244,232,255,0,0.0014851093292236328
original,q4_gates1000_pt0.32_seeds1001,1000,452,313,231,210,246,0,0.0013320446014404297
original,q4_gates1000_pt0.36_seeds1001,1000,444,365,218,189,228,0,0.0013918876647949219
original,q4_gates1000_pt0.4_seeds1001,1000,430,409,206,171,214,0,0.0013723373413085938
original,q4_gates2000_pt0.0_seeds1001,2000,1059,0,670,646,684,0,0.0023946762084960938
original,q4_gates2000_pt0.04_seeds1001,2000,1040,78,649,622,651,0,0.0022232532501220703
original,q4_gates2000_pt0.08_seeds1001,2000,1027,164,621,592,623,0,0.002506256103515625
original,q4_gates2000_pt0.12_seeds1001,2000,1011,251,594,557,598,0,0.002313375473022461
original,q4_gates2000_pt0.16_seeds1001,2000,995,322,569,527,582,0,0.002627849578857422
original,q4_gates2000_pt0.2_seeds1001,2000,967,390,543,518,549,0,0.002451658248901367
original,q4_gates2000_pt0.24_seeds1001,2000,948,469,523,492,516,0,0.0028650760650634766
original,q4_gates2000_pt0.28_seeds1001,2000,924,542,500,474,484,0,0.0029709339141845703
original,q4_gates2000_pt0.32_seeds1001,2000,901,629,476,434,461,0,0.0030193328857421875
original,q4_gates2000_pt0.36_seeds1001,2000,879,713,451,407,429,0,0.003330707550048828
original,q4_gates2000_pt0.4_seeds1001,2000,861,789,435,368,408,0,0.0030519962310791016
original,q4_gates5000_pt0.0_seeds1001,5000,2615,0,1702,1631,1667,0,0.005870819091796875
original,q4_gates5000_pt0.04_seeds1001,5000,2567,204,1643,1559,1594,0,0.006661415100097656
original,q4_gates5000_pt0.08_seeds1001,5000,2533,403,1585,1490,1522,0,0.02765941619873047
original,q4_gates5000_pt0.12_seeds1001,5000,2484,604,1501,1446,1449,0,0.007070302963256836
original,q4_gates5000_pt0.16_seeds1001,5000,2442,817,1435,1362,1386,0,0.006284475326538086
original,q4_gates5000_pt0.2_seeds1001,5000,2380,995,1376,1320,1309,0,0.006206035614013672
