optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
basic,q4_gates100_pt0.0_seeds1000,67,45,0,12,17,33,5,0.01035165786743164
basic,q4_gates100_pt0.04_seeds1000,64,44,4,14,13,28,5,0.009111881256103516
basic,q4_gates100_pt0.08_seeds1000,67,48,8,15,14,25,5,0.007785320281982422
basic,q4_gates100_pt0.12_seeds1000,69,48,10,17,11,26,5,0.0069048404693603516
basic,q4_gates100_pt0.16_seeds1000,67,45,10,21,11,17,8,0.005160093307495117
basic,q4_gates100_pt0.2_seeds1000,60,37,9,20,9,16,6,0.004850864410400391
basic,q4_gates100_pt0.24_seeds1000,57,36,10,14,6,24,3,0.006166696548461914
basic,q4_gates100_pt0.28_seeds1000,52,30,7,14,8,19,4,0.005647182464599609
basic,q4_gates100_pt0.32_seeds1000,46,25,10,9,7,18,2,0.004739046096801758
basic,q4_gates100_pt0.36_seeds1000,53,33,9,12,10,21,1,0.004528522491455078
basic,q4_gates100_pt0.4_seeds1000,63,40,11,18,9,21,4,0.005769968032836914
basic,q4_gates500_pt0.0_seeds1000,229,158,0,49,63,93,24,0.03588724136352539
basic,q4_gates500_pt0.04_seeds1000,246,159,15,59,64,91,17,0.03619265556335449
basic,q4_gates500_pt0.08_seeds1000,256,172,31,68,47,92,18,0.03386402130126953
basic,q4_gates500_pt0.12_seeds1000,260,179,33,68,52,92,15,0.05819559097290039
basic,q4_gates500_pt0.16_seeds1000,263,170,38,76,49,81,19,0.03497123718261719
basic,q4_gates500_pt0.2_seeds1000,241,138,40,66,36,79,20,0.02658390998840332
basic,q4_gates500_pt0.24_seeds1000,221,131,38,62,33,76,12,0.027253389358520508
basic,q4_gates500_pt0.28_seeds1000,218,126,45,53,32,79,9,0.027492284774780273
basic,q4_gates500_pt0.32_seeds1000,242,138,43,75,30,75,19,0.02382826805114746
basic,q4_gates500_pt0.36_seeds1000,238,145,43,62,43,80,10,0.02815079689025879
basic,q4_gates500_pt0.4_seeds1000,235,140,45,73,35,64,18,0.02300739288330078
basic,q4_gates1000_pt0.0_seeds1000,484,310,0,112,148,182,42,0.08022356033325195
basic,q4_gates1000_pt0.04_seeds1000,481,323,32,119,110,187,33,0.06951379776000977
basic,q4_gates1000_pt0.08_seeds1000,506,334,56,120,114,192,24,0.0671088695526123
basic,q4_gates1000_pt0.12_seeds1000,504,344,69,139,91,170,35,0.06937885284423828
basic,q4_gates1000_pt0.16_seeds1000,515,335,84,137,96,170,28,0.09592962265014648
