optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
clifford_simp,q4_gates100_pt0.0_seeds1000,20,11,0,5,6,8,1,0.008875608444213867
clifford_simp,q4_gates100_pt0.04_seeds1000,37,26,4,9,8,12,4,0.007428646087646484
clifford_simp,q4_gates100_pt0.08_seeds1000,39,25,8,9,5,10,7,0.007816076278686523
clifford_simp,q4_gates100_pt0.12_seeds1000,49,26,10,13,6,15,5,0.008140325546264648
clifford_simp,q4_gates100_pt0.16_seeds1000,50,40,10,10,5,21,4,0.007812976837158203
clifford_simp,q4_gates100_pt0.2_seeds1000,48,31,9,11,5,17,6,0.006634950637817383
clifford_simp,q4_gates100_pt0.24_seeds1000,49,30,10,11,6,16,6,0.007205486297607422
clifford_simp,q4_gates100_pt0.28_seeds1000,40,32,7,10,5,10,8,0.0064640045166015625
clifford_simp,q4_gates100_pt0.32_seeds1000,47,31,10,10,5,18,4,0.006561279296875
clifford_simp,q4_gates100_pt0.36_seeds1000,38,27,9,7,5,15,2,0.006374359130859375
clifford_simp,q4_gates100_pt0.4_seeds1000,52,39,11,10,4,20,7,0.0071947574615478516
clifford_simp,q4_gates500_pt0.0_seeds1000,22,14,0,4,10,6,2,0.029637575149536133
clifford_simp,q4_gates500_pt0.04_seeds1000,78,59,17,19,7,27,8,0.031371355056762695
clifford_simp,q4_gates500_pt0.08_seeds1000,144,104,37,31,6,50,20,0.032601118087768555
clifford_simp,q4_gates500_pt0.12_seeds1000,154,111,39,37,7,55,16,0.03450965881347656
clifford_simp,q4_gates500_pt0.16_seeds1000,162,112,42,41,5,62,12,0.03490614891052246
clifford_simp,q4_gates500_pt0.2_seeds1000,178,116,48,47,6,59,18,0.033339738845825195
clifford_simp,q4_gates500_pt0.24_seeds1000,163,111,44,36,13,55,15,0.028844594955444336
clifford_simp,q4_gates500_pt0.28_seeds1000,193,122,57,48,9,64,15,0.028392553329467773
clifford_simp,q4_gates500_pt0.32_seeds1000,193,132,51,47,9,67,19,0.028063297271728516
clifford_simp,q4_gates500_pt0.36_seeds1000,193,130,49,44,11,64,25,0.03236246109008789
clifford_simp,q4_gates500_pt0.4_seeds1000,188,133,49,48,7,63,21,0.02893972396850586
clifford_simp,q4_gates1000_pt0.0_seeds1000,15,7,0,5,7,2,1,0.06385135650634766
clifford_simp,q4_gates1000_pt0.04_seeds1000,150,118,34,37,9,51,19,0.06448078155517578
clifford_simp,q4_gates1000_pt0.08_seeds1000,269,201,64,63,14,107,21,0.06535053253173828
clifford_simp,q4_gates1000_pt0.12_seeds1000,288,200,75,68,7,114,24,0.07094097137451172
clifford_simp,q4_gates1000_pt0.16_seeds1000,367,262,96,84,11,141,35,0.0765523910522461
