optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
basic,q4_gates100_pt0.0_seeds1000,157,92,0,103,19,0,35,0.0050084590911865234
basic,q4_gates100_pt0.04_seeds1000,155,91,4,101,18,0,32,0.01067495346069336
basic,q4_gates100_pt0.08_seeds1000,142,79,8,92,13,0,29,0.004408359527587891
basic,q4_gates100_pt0.12_seeds1000,144,79,10,93,12,0,29,0.004288673400878906
basic,q4_gates100_pt0.16_seeds1000,129,69,10,84,12,0,23,0.006265878677368164
basic,q4_gates100_pt0.2_seeds1000,119,62,9,78,10,0,22,0.004662275314331055
basic,q4_gates100_pt0.24_seeds1000,126,64,10,82,9,0,25,0.004022359848022461
basic,q4_gates100_pt0.28_seeds1000,118,61,7,76,11,0,24,0.004639387130737305
basic,q4_gates100_pt0.32_seeds1000,107,55,10,68,8,0,21,0.005662202835083008
basic,q4_gates100_pt0.36_seeds1000,106,58,9,66,9,0,22,0.0034677982330322266
basic,q4_gates100_pt0.4_seeds1000,122,56,11,76,12,0,23,0.0034325122833251953
basic,q4_gates500_pt0.0_seeds1000,577,321,0,377,75,0,125,0.023752212524414062
basic,q4_gates500_pt0.04_seeds1000,577,304,19,376,60,0,122,0.020334243774414062
basic,q4_gates500_pt0.08_seeds1000,582,304,37,378,51,0,116,0.019194602966308594
basic,q4_gates500_pt0.12_seeds1000,575,285,39,371,56,0,109,0.020457744598388672
basic,q4_gates500_pt0.16_seeds1000,551,269,44,356,50,0,101,0.0208437442779541
basic,q4_gates500_pt0.2_seeds1000,515,246,50,334,34,0,97,0.04706525802612305
basic,q4_gates500_pt0.24_seeds1000,502,237,48,325,32,0,97,0.016198158264160156
basic,q4_gates500_pt0.28_seeds1000,530,250,57,341,34,0,98,0.0188143253326416
basic,q4_gates500_pt0.32_seeds1000,478,238,51,309,28,0,90,0.014217615127563477
basic,q4_gates500_pt0.36_seeds1000,479,236,49,307,32,0,91,0.017012596130371094
basic,q4_gates500_pt0.4_seeds1000,466,232,49,298,33,0,86,0.01583075523376465
basic,q4_gates1000_pt0.0_seeds1000,1076,581,0,702,138,0,236,0.05064988136291504
basic,q4_gates1000_pt0.04_seeds1000,1090,604,36,712,107,0,235,0.04312610626220703
basic,q4_gates1000_pt0.08_seeds1000,1107,588,64,718,98,0,227,0.04097318649291992
basic,q4_gates1000_pt0.12_seeds1000,1094,583,75,707,96,0,216,0.03878593444824219
basic,q4_gates1000_pt0.16_seeds1000,1113,569,98,717,89,0,209,0.04460787773132324
basic,q4_gates1000_pt0.2_seeds1000,1111,560,100,718,80,0,213,0.07011890411376953
basic,q4_gates1000_pt0.24_seeds1000,1057,516,101,681,76,0,199,0.048497915267944336
basic,q4_gates1000_pt0.28_seeds1000,1081,531,111,696,76,0,198,0.04173111915588379
basic,q4_gates1000_pt0.32_seeds1000,1059,551,119,682,64,0,194,0.04206538200378418
basic,q4_gates1000_pt0.36_seeds1000,953,479,116,610,63,0,164,0.03636002540588379
basic,q4_gates1000_pt0.4_seeds1000,930,464,119,594,58,0,159,0.03616595268249512
basic,q4_gates2000_pt0.0_seeds1000,2001,1098,0,1307,261,0,433,0.1421051025390625
basic,q4_gates2000_pt0.04_seeds1000,2068,1122,67,1342,230,0,429,0.12174582481384277
basic,q4_gates2000_pt0.08_seeds1000,2085,1100,121,1346,203,0,415,0.10939931869506836
basic,q4_gates2000_pt0.12_seeds1000,2115,1082,153,1363,187,0,412,0.13358545303344727
basic,q4_gates2000_pt0.16_seeds1000,2149,1065,193,1383,179,0,394,0.11224102973937988
basic,q4_gates2000_pt0.2_seeds1000,2096,1048,206,1353,146,0,391,0.09166765213012695
basic,q4_gates2000_pt0.24_seeds1000,2047,999,204,1317,150,0,376,0.13350200653076172
basic,q4_gates2000_pt0.28_seeds1000,1996,1005,219,1285,134,0,358,0.09876489639282227
basic,q4_gates2000_pt0.32_seeds1000,2002,1036,232,1287,126,0,357,0.09718465805053711
basic,q4_gates2000_pt0.36_seeds1000,1829,929,223,1171,115,0,320,0.12614822387695312
basic,q4_gates2000_pt0.4_seeds1000,1813,890,223,1160,116,0,314,0.10183334350585938
basic,q4_gates5000_pt0.0_seeds1000,4895,2573,0,3188,669,0,1038,0.5136191844940186
basic,q4_gates5000_pt0.04_seeds1000,5000,2677,167,3253,548,0,1032,0.40877532958984375
basic,q4_gates5000_pt0.08_seeds1000,5214,2770,294,3375,521,0,1024,0.4048135280609131
basic,q4_gates5000_pt0.12_seeds1000,5227,2691,370,3376,481,0,1000,0.44699764251708984
basic,q4_gates5000_pt0.16_seeds1000,5204,2677,432,3355,448,0,969,0.46221399307250977
basic,q4_gates5000_pt0.2_seeds1000,5130,2585,478,3306,400,0,946,0.40103697776794434
basic,q4_gates5000_pt0.24_seeds1000,5103,2540,505,3280,397,0,921,0.4337742328643799
basic,q4_gates5000_pt0.28_seeds1000,4983,2499,542,3203,358,0,880,0.42516613006591797
basic,q4_gates5000_pt0.32_seeds1000,4938,2519,583,3174,329,0,852,0.4234044551849365
basic,q4_gates5000_pt0.36_seeds1000,4599,2366,565,2949,290,0,795,0.3906574249267578
basic,q4_gates5000_pt0.4_seeds1000,4404,2235,537,2824,289,0,754,0.42687129974365234
basic,q4_gates10000_pt0.0_seeds1000,9728,5211,0,6323,1368,0,2037,1.356994390487671
basic,q4_gates10000_pt0.04_seeds1000,10073,5352,337,6537,1155,0,2044,1.259979486465454
basic,q4_gates10000_pt0.08_seeds1000,10183,5294,584,6586,1030,0,1983,1.4161896705627441
basic,q4_gates10000_pt0.12_seeds1000,10415,5393,747,6732,952,0,1984,1.3676567077636719
basic,q4_gates10000_pt0.16_seeds1000,10258,5297,889,6622,847,0,1900,1.3213937282562256
basic,q4_gates10000_pt0.2_seeds1000,10202,5206,987,6572,802,0,1841,1.2096068859100342
basic,q4_gates10000_pt0.24_seeds1000,10167,5140,1063,6538,779,0,1787,1.5171794891357422
basic,q4_gates10000_pt0.28_seeds1000,9933,4993,1109,6389,705,0,1730,1.3934385776519775
basic,q4_gates10000_pt0.32_seeds1000,9652,4854,1158,6209,637,0,1648,1.3579308986663818
basic,q4_gates10000_pt0.36_seeds1000,9158,4639,1148,5876,584,0,1550,1.3397152423858643
basic,q4_gates10000_pt0.4_seeds1000,8857,4440,1116,5689,562,0,1490,1.301553726196289
basic,q4_gates50000_pt0.0_seeds1000,48055,25647,0,31201,6809,0,10045,30.537139654159546
basic,q4_gates50000_pt0.04_seeds1000,49792,26240,1717,32239,5852,0,9984,29.412835836410522
basic,q4_gates50000_pt0.08_seeds1000,50928,26450,2956,32924,5161,0,9887,27.474135398864746
basic,q4_gates50000_pt0.12_seeds1000,51287,26431,3868,33090,4676,0,9653,30.427730798721313
basic,q4_gates50000_pt0.16_seeds1000,51067,26069,4502,32908,4285,0,9372,32.619537115097046
basic,q4_gates50000_pt0.2_seeds1000,50866,25805,5011,32742,3980,0,9133,31.33300232887268
basic,q4_gates50000_pt0.24_seeds1000,49952,25320,5319,32116,3738,0,8779,28.966632843017578
basic,q4_gates50000_pt0.28_seeds1000,49019,24816,5621,31477,3470,0,8451,34.89241099357605
basic,q4_gates50000_pt0.32_seeds1000,47517,23917,5686,30493,3278,0,8060,34.275394439697266
basic,q4_gates50000_pt0.36_seeds1000,45929,22977,5796,29440,2990,0,7703,29.590967893600464
basic,q4_gates50000_pt0.4_seeds1000,44140,21937,5827,28274,2750,0,7289,30.09026861190796
basic,q8_gates100_pt0.0_seeds1000,173,54,0,113,23,0,37,0.009096384048461914
basic,q8_gates100_pt0.04_seeds1000,173,54,4,112,21,0,36,0.006629467010498047
basic,q8_gates100_pt0.08_seeds1000,170,54,9,109,16,0,36,0.00560760498046875
basic,q8_gates100_pt0.12_seeds1000,168,59,10,107,15,0,36,0.005884885787963867
basic,q8_gates100_pt0.16_seeds1000,164,54,10,104,17,0,33,0.006606578826904297
basic,q8_gates100_pt0.2_seeds1000,166,50,13,106,15,0,32,0.0059278011322021484
basic,q8_gates100_pt0.24_seeds1000,166,51,13,106,15,0,32,0.0062999725341796875
basic,q8_gates100_pt0.28_seeds1000,143,48,10,91,15,0,27,0.006082057952880859
basic,q8_gates100_pt0.32_seeds1000,136,54,13,86,9,0,28,0.005678892135620117
basic,q8_gates100_pt0.36_seeds1000,121,41,12,77,7,0,25,0.0049817562103271484
basic,q8_gates100_pt0.4_seeds1000,131,43,12,81,14,0,24,0.005555391311645508
basic,q8_gates500_pt0.0_seeds1000,711,227,0,465,80,0,166,0.02747488021850586
basic,q8_gates500_pt0.04_seeds1000,720,233,18,471,71,0,160,0.028760671615600586
basic,q8_gates500_pt0.08_seeds1000,693,231,33,449,54,0,157,0.02617049217224121
basic,q8_gates500_pt0.12_seeds1000,677,211,38,438,53,0,148,0.023706912994384766
basic,q8_gates500_pt0.16_seeds1000,636,205,46,411,43,0,136,0.024749279022216797
basic,q8_gates500_pt0.2_seeds1000,637,194,49,412,39,0,137,0.023654460906982422
basic,q8_gates500_pt0.24_seeds1000,635,194,52,409,40,0,134,0.023075342178344727
basic,q8_gates500_pt0.28_seeds1000,601,214,52,386,41,0,122,0.022138595581054688
basic,q8_gates500_pt0.32_seeds1000,568,201,49,365,38,0,116,0.021675825119018555
basic,q8_gates500_pt0.36_seeds1000,547,169,55,354,32,0,106,0.0202484130859375
basic,q8_gates500_pt0.4_seeds1000,526,177,64,335,28,0,99,0.019829511642456055
basic,q8_gates1000_pt0.0_seeds1000,1352,442,0,883,159,0,310,0.05678296089172363
basic,q8_gates1000_pt0.04_seeds1000,1386,455,32,907,137,0,310,0.05474424362182617
basic,q8_gates1000_pt0.08_seeds1000,1339,433,58,871,114,0,296,0.05852627754211426
basic,q8_gates1000_pt0.12_seeds1000,1338,436,69,869,111,0,289,0.05502748489379883
basic,q8_gates1000_pt0.16_seeds1000,1309,429,92,851,91,0,275,0.053401947021484375
basic,q8_gates1000_pt0.2_seeds1000,1289,417,102,835,84,0,268,0.10293078422546387
basic,q8_gates1000_pt0.24_seeds1000,1268,401,108,820,84,0,256,0.05025959014892578
basic,q8_gates1000_pt0.28_seeds1000,1233,426,108,794,84,0,247,0.0516512393951416
basic,q8_gates1000_pt0.32_seeds1000,1182,395,111,761,79,0,231,0.047975778579711914
basic,q8_gates1000_pt0.36_seeds1000,1130,345,123,726,77,0,204,0.04427790641784668
