optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
clifford_simp,q4_gates100_pt0.0_seeds1000,21,15,0,7,6,1,7,0.012757301330566406
clifford_simp,q4_gates100_pt0.04_seeds1000,34,29,4,12,4,6,8,0.008550405502319336
clifford_simp,q4_gates100_pt0.08_seeds1000,55,38,8,20,3,6,18,0.008103609085083008
clifford_simp,q4_gates100_pt0.12_seeds1000,58,37,10,24,1,3,20,0.00911402702331543
clifford_simp,q4_gates100_pt0.16_seeds1000,61,40,10,23,6,3,19,0.005696535110473633
clifford_simp,q4_gates100_pt0.2_seeds1000,57,37,9,20,4,2,22,0.006548881530761719
clifford_simp,q4_gates100_pt0.24_seeds1000,65,50,10,23,4,7,21,0.008140325546264648
clifford_simp,q4_gates100_pt0.28_seeds1000,48,26,7,18,6,0,17,0.006678581237792969
clifford_simp,q4_gates100_pt0.32_seeds1000,55,36,10,18,4,3,20,0.004870176315307617
clifford_simp,q4_gates100_pt0.36_seeds1000,50,33,9,21,3,6,11,0.007628679275512695
clifford_simp,q4_gates100_pt0.4_seeds1000,54,45,11,19,1,6,17,0.006624698638916016
clifford_simp,q4_gates500_pt0.0_seeds1000,27,13,0,11,7,0,9,0.03529500961303711
clifford_simp,q4_gates500_pt0.04_seeds1000,86,72,17,24,4,17,24,0.0378725528717041
clifford_simp,q4_gates500_pt0.08_seeds1000,154,123,35,48,1,12,58,0.0298004150390625
clifford_simp,q4_gates500_pt0.12_seeds1000,169,124,39,52,2,16,60,0.036011457443237305
clifford_simp,q4_gates500_pt0.16_seeds1000,182,159,42,58,2,22,58,0.03550362586975098
clifford_simp,q4_gates500_pt0.2_seeds1000,203,153,48,63,3,22,67,0.03384876251220703
clifford_simp,q4_gates500_pt0.24_seeds1000,196,153,44,64,8,9,71,0.02871417999267578
clifford_simp,q4_gates500_pt0.28_seeds1000,227,163,57,76,4,17,73,0.03353619575500488
clifford_simp,q4_gates500_pt0.32_seeds1000,215,161,51,68,6,10,80,0.027492284774780273
clifford_simp,q4_gates500_pt0.36_seeds1000,213,162,49,68,1,10,85,0.028654813766479492
clifford_simp,q4_gates500_pt0.4_seeds1000,202,153,49,60,3,19,71,0.02697467803955078
clifford_simp,q4_gates1000_pt0.0_seeds1000,21,11,0,9,5,0,7,0.07607412338256836
clifford_simp,q4_gates1000_pt0.04_seeds1000,152,132,34,42,5,31,40,0.07740497589111328
clifford_simp,q4_gates1000_pt0.08_seeds1000,281,235,62,78,6,36,99,0.07432031631469727
clifford_simp,q4_gates1000_pt0.12_seeds1000,321,259,75,91,4,35,116,0.07008481025695801
clifford_simp,q4_gates1000_pt0.16_seeds1000,412,327,96,123,5,26,162,0.09090042114257812
clifford_simp,q4_gates1000_pt0.2_seeds1000,421,328,98,121,5,42,155,0.08099508285522461
clifford_simp,q4_gates1000_pt0.24_seeds1000,420,320,97,129,7,34,153,0.08119344711303711
clifford_simp,q4_gates1000_pt0.28_seeds1000,441,320,109,141,6,20,165,0.07579708099365234
clifford_simp,q4_gates1000_pt0.32_seeds1000,468,353,119,148,3,19,179,0.12078547477722168
clifford_simp,q4_gates1000_pt0.36_seeds1000,444,340,116,149,2,28,149,0.06774497032165527
clifford_simp,q4_gates1000_pt0.4_seeds1000,470,347,119,149,4,30,168,0.06200218200683594
clifford_simp,q4_gates2000_pt0.0_seeds1000,27,21,0,9,6,1,11,0.15113544464111328
