optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
clifford_simp,q16_gates100_pt0.0_seeds1000,182,89,0,44,20,17,101,0.051233530044555664
clifford_simp,q16_gates100_pt0.04_seeds1000,157,61,4,44,22,7,80,0.015382528305053711
clifford_simp,q16_gates100_pt0.08_seeds1000,153,64,9,40,15,8,81,0.013346195220947266
clifford_simp,q16_gates100_pt0.12_seeds1000,126,50,10,42,15,2,57,0.009942054748535156
clifford_simp,q16_gates100_pt0.16_seeds1000,142,51,8,46,17,3,68,0.01085805892944336
clifford_simp,q16_gates100_pt0.2_seeds1000,146,53,9,51,19,6,61,0.012070417404174805
clifford_simp,q16_gates100_pt0.24_seeds1000,160,62,8,46,20,7,79,0.01660943031311035
clifford_simp,q16_gates100_pt0.28_seeds1000,140,39,11,49,16,4,60,0.011426210403442383
clifford_simp,q16_gates100_pt0.32_seeds1000,144,39,13,47,10,4,70,0.01083993911743164
clifford_simp,q16_gates100_pt0.36_seeds1000,128,29,17,49,8,2,52,0.008740663528442383
clifford_simp,q16_gates100_pt0.4_seeds1000,120,32,19,48,11,0,42,0.007613658905029297
clifford_simp,q16_gates500_pt0.0_seeds1000,237,122,0,45,27,36,129,0.12441539764404297
clifford_simp,q16_gates500_pt0.04_seeds1000,345,187,16,61,22,66,180,0.5061509609222412
clifford_simp,q16_gates500_pt0.08_seeds1000,455,280,35,73,17,69,261,0.14886069297790527
clifford_simp,q16_gates500_pt0.12_seeds1000,496,304,42,72,13,75,294,0.1392066478729248
clifford_simp,q16_gates500_pt0.16_seeds1000,498,321,41,80,15,59,303,0.1310269832611084
clifford_simp,q16_gates500_pt0.2_seeds1000,500,293,44,91,19,78,268,0.11278724670410156
clifford_simp,q16_gates500_pt0.24_seeds1000,576,363,50,94,19,59,354,0.10363292694091797
clifford_simp,q16_gates500_pt0.28_seeds1000,510,243,66,112,16,42,274,0.08506941795349121
clifford_simp,q16_gates500_pt0.32_seeds1000,506,241,77,123,6,32,268,0.10962939262390137
clifford_simp,q16_gates500_pt0.36_seeds1000,560,302,76,127,7,38,312,0.0671844482421875
clifford_simp,q16_gates500_pt0.4_seeds1000,507,252,81,133,4,34,255,0.06970047950744629
clifford_simp,q16_gates1000_pt0.0_seeds1000,241,138,0,47,27,31,136,0.3491530418395996
clifford_simp,q16_gates1000_pt0.04_seeds1000,547,357,36,83,25,139,264,0.8463907241821289
clifford_simp,q16_gates1000_pt0.08_seeds1000,764,520,63,108,18,151,424,0.6033313274383545
clifford_simp,q16_gates1000_pt0.12_seeds1000,810,547,74,116,20,157,443,0.3937263488769531
clifford_simp,q16_gates1000_pt0.16_seeds1000,932,590,89,139,14,126,564,0.36783289909362793
clifford_simp,q16_gates1000_pt0.2_seeds1000,941,582,98,143,19,122,559,0.27330756187438965
clifford_simp,q16_gates1000_pt0.24_seeds1000,1011,661,107,157,13,106,628,0.2102501392364502
clifford_simp,q16_gates1000_pt0.28_seeds1000,967,596,124,170,10,106,557,0.19706463813781738
clifford_simp,q16_gates1000_pt0.32_seeds1000,984,572,130,184,13,104,553,0.24211621284484863
clifford_simp,q16_gates1000_pt0.36_seeds1000,985,520,139,197,5,55,589,0.13030385971069336
clifford_simp,q16_gates1000_pt0.4_seeds1000,862,408,144,198,4,67,449,0.1428065299987793
clifford_simp,q16_gates2000_pt0.0_seeds1000,238,129,0,47,24,34,133,1.017212152481079
clifford_simp,q16_gates2000_pt0.04_seeds1000,944,656,67,109,22,271,475,2.3284192085266113
clifford_simp,q16_gates2000_pt0.08_seeds1000,1507,1122,131,168,19,294,895,1.4453630447387695
clifford_simp,q16_gates2000_pt0.12_seeds1000,1720,1191,163,202,15,292,1048,1.4164636135101318
clifford_simp,q16_gates2000_pt0.16_seeds1000,1921,1238,202,264,20,214,1221,0.52716064453125
clifford_simp,q16_gates2000_pt0.2_seeds1000,1964,1285,210,275,22,268,1189,0.5999758243560791
clifford_simp,q16_gates2000_pt0.24_seeds1000,1990,1191,236,308,21,209,1216,0.5359973907470703
clifford_simp,q16_gates2000_pt0.28_seeds1000,1950,1093,253,322,14,199,1162,0.45828986167907715
clifford_simp,q16_gates2000_pt0.32_seeds1000,1919,1133,262,342,12,158,1145,0.5229907035827637
clifford_simp,q16_gates2000_pt0.36_seeds1000,1939,1139,262,348,6,155,1168,0.3667149543762207
clifford_simp,q16_gates2000_pt0.4_seeds1000,1745,926,264,353,3,128,997,0.33655595779418945
clifford_simp,q16_gates5000_pt0.0_seeds1000,250,138,0,47,26,30,147,5.0579588413238525
clifford_simp,q16_gates5000_pt0.04_seeds1000,2130,1615,166,214,26,636,1088,12.964170217514038
clifford_simp,q16_gates5000_pt0.08_seeds1000,3560,2593,324,364,14,746,2112,10.275541305541992
clifford_simp,q16_gates5000_pt0.12_seeds1000,4276,2989,405,466,20,787,2598,7.645358324050903
clifford_simp,q16_gates5000_pt0.16_seeds1000,4542,2966,493,584,21,648,2796,3.714226484298706
clifford_simp,q16_gates5000_pt0.2_seeds1000,4769,3179,531,637,20,612,2969,3.085592746734619
clifford_simp,q16_gates5000_pt0.24_seeds1000,4814,3053,566,680,15,580,2973,2.9029958248138428
clifford_simp,q16_gates5000_pt0.28_seeds1000,4659,2885,579,685,13,541,2841,3.341200113296509
clifford_simp,q16_gates5000_pt0.32_seeds1000,4668,2856,623,762,11,452,2820,2.4621927738189697
clifford_simp,q16_gates5000_pt0.36_seeds1000,4411,2594,620,768,16,387,2620,1.9038186073303223
clifford_simp,q16_gates5000_pt0.4_seeds1000,4089,2239,620,786,12,351,2320,1.7784910202026367
clifford_simp,q16_gates10000_pt0.0_seeds1000,242,132,0,48,26,34,134,20.340073108673096
clifford_simp,q16_gates10000_pt0.04_seeds1000,4214,3145,347,387,19,1293,2168,65.91039562225342
clifford_simp,q16_gates10000_pt0.08_seeds1000,6655,4974,600,650,18,1466,3921,39.77146124839783
clifford_simp,q16_gates10000_pt0.12_seeds1000,8159,5695,801,878,21,1520,4939,30.79108691215515
clifford_simp,q16_gates10000_pt0.16_seeds1000,8846,5887,949,1090,26,1306,5475,15.326233148574829
clifford_simp,q16_gates10000_pt0.2_seeds1000,9369,6169,1038,1206,29,1152,5944,11.932684183120728
clifford_simp,q16_gates10000_pt0.24_seeds1000,9247,5965,1117,1325,21,1099,5685,10.845760107040405
clifford_simp,q16_gates10000_pt0.28_seeds1000,8985,5520,1157,1385,22,965,5456,10.493531703948975
clifford_simp,q16_gates10000_pt0.32_seeds1000,8800,4997,1227,1486,21,842,5224,10.580262184143066
clifford_simp,q16_gates10000_pt0.36_seeds1000,8583,4877,1219,1494,19,777,5074,8.798140287399292
clifford_simp,q16_gates10000_pt0.4_seeds1000,7953,4277,1235,1546,20,581,4571,6.587235689163208
clifford_simp,q16_gates50000_pt0.0_seeds1000,233,130,0,44,24,41,124,504.9213619232178
