optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
clifford_simp,q4_gates100_pt0.0_seeds1002,20,12,0,4,8,5,3,0.006024599075317383
clifford_simp,q4_gates100_pt0.04_seeds1002,34,23,4,7,9,11,3,0.0077440738677978516
clifford_simp,q4_gates100_pt0.08_seeds1002,47,31,8,11,9,17,2,0.00677490234375
clifford_simp,q4_gates100_pt0.12_seeds1002,70,43,15,16,9,23,7,0.008360147476196289
clifford_simp,q4_gates100_pt0.16_seeds1002,62,46,16,13,3,21,9,0.0065364837646484375
clifford_simp,q4_gates100_pt0.2_seeds1002,72,54,18,15,6,23,10,0.007509708404541016
clifford_simp,q4_gates100_pt0.24_seeds1002,62,40,16,17,5,17,7,0.006477832794189453
clifford_simp,q4_gates100_pt0.28_seeds1002,51,39,14,11,6,18,2,0.006997585296630859
clifford_simp,q4_gates100_pt0.32_seeds1002,57,40,14,15,4,17,7,0.006516695022583008
clifford_simp,q4_gates100_pt0.36_seeds1002,60,43,14,15,6,23,2,0.006791591644287109
clifford_simp,q4_gates100_pt0.4_seeds1002,52,32,12,16,5,12,7,0.006474494934082031
clifford_simp,q4_gates500_pt0.0_seeds1002,16,10,0,4,5,6,1,0.02395915985107422
clifford_simp,q4_gates500_pt0.04_seeds1002,108,78,23,27,4,45,9,0.031346797943115234
clifford_simp,q4_gates500_pt0.08_seeds1002,176,118,47,45,5,65,14,0.029088973999023438
clifford_simp,q4_gates500_pt0.12_seeds1002,212,139,54,53,10,76,19,0.03123641014099121
clifford_simp,q4_gates500_pt0.16_seeds1002,214,141,54,56,6,66,32,0.03263068199157715
clifford_simp,q4_gates500_pt0.2_seeds1002,197,129,56,44,8,74,15,0.032788753509521484
clifford_simp,q4_gates500_pt0.24_seeds1002,208,142,57,46,12,82,11,0.03758549690246582
clifford_simp,q4_gates500_pt0.28_seeds1002,207,142,56,44,13,75,19,0.03342151641845703
clifford_simp,q4_gates500_pt0.32_seeds1002,198,129,53,53,4,67,21,0.027226924896240234
clifford_simp,q4_gates500_pt0.36_seeds1002,200,136,57,49,6,75,13,0.02723073959350586
clifford_simp,q4_gates500_pt0.4_seeds1002,197,137,57,51,5,61,23,0.027977943420410156
clifford_simp,q4_gates1000_pt0.0_seeds1002,21,16,0,5,7,7,2,0.05467629432678223
clifford_simp,q4_gates1000_pt0.04_seeds1002,150,121,33,38,6,60,13,0.056151390075683594
clifford_simp,q4_gates1000_pt0.08_seeds1002,300,217,76,72,22,114,16,0.07637763023376465
clifford_simp,q4_gates1000_pt0.12_seeds1002,345,240,88,79,22,125,31,0.06682229042053223
clifford_simp,q4_gates1000_pt0.16_seeds1002,376,256,95,87,23,145,26,0.07635498046875
clifford_simp,q4_gates1000_pt0.2_seeds1002,382,258,102,87,16,156,21,0.06252026557922363
clifford_simp,q4_gates1000_pt0.24_seeds1002,387,264,110,95,20,133,29,0.07783389091491699
clifford_simp,q4_gates1000_pt0.28_seeds1002,403,290,110,93,20,147,33,0.12373495101928711
clifford_simp,q4_gates1000_pt0.32_seeds1002,376,245,103,94,10,136,33,0.05861330032348633
clifford_simp,q4_gates1000_pt0.36_seeds1002,349,253,97,83,11,134,24,0.060506582260131836
clifford_simp,q4_gates1000_pt0.4_seeds1002,390,260,104,106,9,127,44,0.06276726722717285
clifford_simp,q4_gates2000_pt0.0_seeds1002,26,22,0,5,9,9,3,0.14396071434020996
clifford_simp,q4_gates2000_pt0.04_seeds1002,256,185,61,64,6,112,13,0.14081645011901855
clifford_simp,q4_gates2000_pt0.08_seeds1002,491,362,124,114,20,198,35,0.1733236312866211
clifford_simp,q4_gates2000_pt0.12_seeds1002,598,411,154,137,31,230,46,0.18578863143920898
clifford_simp,q4_gates2000_pt0.16_seeds1002,687,467,179,159,23,277,49,0.15025949478149414
clifford_simp,q4_gates2000_pt0.2_seeds1002,728,500,201,161,33,276,57,0.17231225967407227
clifford_simp,q4_gates2000_pt0.24_seeds1002,749,504,204,174,28,288,55,0.1864480972290039
clifford_simp,q4_gates2000_pt0.28_seeds1002,752,520,204,171,32,280,65,0.15654540061950684
clifford_simp,q4_gates2000_pt0.32_seeds1002,733,489,201,179,23,272,58,0.15378022193908691
clifford_simp,q4_gates2000_pt0.36_seeds1002,751,514,204,191,17,257,82,0.17155885696411133
clifford_simp,q4_gates2000_pt0.4_seeds1002,727,468,211,175,25,250,66,0.14514422416687012
clifford_simp,q4_gates5000_pt0.0_seeds1002,18,10,0,3,9,4,2,0.4418160915374756
clifford_simp,q4_gates5000_pt0.04_seeds1002,675,486,164,157,30,277,47,0.5075118541717529
clifford_simp,q4_gates5000_pt0.08_seeds1002,1225,878,315,288,53,466,103,0.6336269378662109
clifford_simp,q4_gates5000_pt0.12_seeds1002,1512,1054,390,353,70,587,112,0.5802338123321533
clifford_simp,q4_gates5000_pt0.16_seeds1002,1719,1194,464,393,65,664,133,0.6828482151031494
clifford_simp,q4_gates5000_pt0.2_seeds1002,1838,1301,502,427,59,700,150,0.6560814380645752
clifford_simp,q4_gates5000_pt0.24_seeds1002,1912,1335,521,450,64,733,144,0.7238912582397461
clifford_simp,q4_gates5000_pt0.28_seeds1002,1952,1346,549,442,85,719,157,0.6059746742248535
clifford_simp,q4_gates5000_pt0.32_seeds1002,1932,1325,543,455,67,720,147,0.5510730743408203
clifford_simp,q4_gates5000_pt0.36_seeds1002,1958,1317,567,482,51,708,150,0.5834698677062988
clifford_simp,q4_gates5000_pt0.4_seeds1002,1836,1231,548,444,52,642,150,0.5377073287963867
clifford_simp,q4_gates10000_pt0.0_seeds1002,20,11,0,4,7,5,4,1.4925243854522705
clifford_simp,q4_gates10000_pt0.04_seeds1002,1364,1020,342,315,59,551,97,1.5713303089141846
clifford_simp,q4_gates10000_pt0.08_seeds1002,2360,1671,611,553,111,923,162,1.5105137825012207
clifford_simp,q4_gates10000_pt0.12_seeds1002,2931,2104,759,682,138,1140,212,1.7874672412872314
clifford_simp,q4_gates10000_pt0.16_seeds1002,3362,2377,904,796,123,1300,239,1.7114434242248535
clifford_simp,q4_gates10000_pt0.2_seeds1002,3543,2524,968,840,116,1364,255,1.6432418823242188
clifford_simp,q4_gates10000_pt0.24_seeds1002,3791,2675,1030,889,120,1465,287,1.7142188549041748
clifford_simp,q4_gates10000_pt0.28_seeds1002,3899,2679,1098,894,150,1486,271,1.9062604904174805
clifford_simp,q4_gates10000_pt0.32_seeds1002,3900,2702,1117,929,131,1460,263,1.8730518817901611
clifford_simp,q4_gates10000_pt0.36_seeds1002,3917,2665,1142,935,139,1435,266,1.840418815612793
clifford_simp,q4_gates10000_pt0.4_seeds1002,3719,2500,1114,898,105,1327,275,1.591459035873413
clifford_simp,q4_gates50000_pt0.0_seeds1002,20,14,0,4,8,4,4,25.09726905822754
clifford_simp,q4_gates50000_pt0.04_seeds1002,6627,4813,1680,1554,329,2629,435,25.631261348724365
clifford_simp,q4_gates50000_pt0.08_seeds1002,11262,8082,2922,2614,491,4486,749,28.6687650680542
clifford_simp,q4_gates50000_pt0.12_seeds1002,14366,10198,3803,3328,666,5615,954,31.100594758987427
clifford_simp,q4_gates50000_pt0.16_seeds1002,16252,11320,4430,3849,613,6274,1086,32.29307961463928
clifford_simp,q4_gates50000_pt0.2_seeds1002,17599,12257,4864,4145,598,6761,1231,28.779491424560547
clifford_simp,q4_gates50000_pt0.24_seeds1002,18584,12847,5226,4338,683,7082,1255,35.00679349899292
clifford_simp,q4_gates50000_pt0.28_seeds1002,19107,13173,5464,4449,676,7232,1286,33.43130564689636
clifford_simp,q4_gates50000_pt0.32_seeds1002,19064,13087,5556,4522,649,7042,1295,34.791393995285034
clifford_simp,q4_gates50000_pt0.36_seeds1002,19141,13102,5665,4587,601,7116,1172,31.410099744796753
clifford_simp,q4_gates50000_pt0.4_seeds1002,18760,12668,5631,4472,582,6774,1301,33.00641965866089
clifford_simp,q8_gates100_pt0.0_seeds1002,65,29,0,14,18,24,9,0.009279012680053711
clifford_simp,q8_gates100_pt0.04_seeds1002,76,37,4,14,12,30,16,0.009595394134521484
clifford_simp,q8_gates100_pt0.08_seeds1002,83,40,9,13,16,33,12,0.010500669479370117
clifford_simp,q8_gates100_pt0.12_seeds1002,101,53,17,16,8,48,12,0.011209249496459961
clifford_simp,q8_gates100_pt0.16_seeds1002,101,42,18,23,9,44,7,0.010748147964477539
clifford_simp,q8_gates100_pt0.2_seeds1002,110,60,18,19,11,48,14,0.009860992431640625
clifford_simp,q8_gates100_pt0.24_seeds1002,79,33,20,19,6,24,10,0.009041070938110352
clifford_simp,q8_gates100_pt0.28_seeds1002,82,45,20,18,3,29,12,0.008368253707885742
clifford_simp,q8_gates100_pt0.32_seeds1002,82,38,21,18,5,32,6,0.009263992309570312
clifford_simp,q8_gates100_pt0.36_seeds1002,76,38,21,17,2,31,5,0.007950305938720703
clifford_simp,q8_gates100_pt0.4_seeds1002,80,38,20,16,6,34,4,0.007479667663574219
clifford_simp,q8_gates500_pt0.0_seeds1002,74,46,0,12,17,29,16,0.03340792655944824
clifford_simp,q8_gates500_pt0.04_seeds1002,199,124,21,31,12,83,52,0.04578089714050293
clifford_simp,q8_gates500_pt0.08_seeds1002,237,138,34,38,12,116,37,0.04927873611450195
clifford_simp,q8_gates500_pt0.12_seeds1002,345,191,54,58,18,150,65,0.05006003379821777
clifford_simp,q8_gates500_pt0.16_seeds1002,355,202,60,53,23,160,59,0.057927608489990234
clifford_simp,q8_gates500_pt0.2_seeds1002,355,200,62,55,17,158,63,0.05410051345825195
clifford_simp,q8_gates500_pt0.24_seeds1002,321,171,63,57,11,116,74,0.04485774040222168
clifford_simp,q8_gates500_pt0.28_seeds1002,316,182,63,56,10,142,45,0.04499197006225586
clifford_simp,q8_gates500_pt0.32_seeds1002,281,146,58,54,7,125,37,0.03801250457763672
clifford_simp,q8_gates500_pt0.36_seeds1002,279,152,59,50,7,121,42,0.03869342803955078
clifford_simp,q8_gates500_pt0.4_seeds1002,287,166,59,51,14,115,48,0.042238473892211914
clifford_simp,q8_gates1000_pt0.0_seeds1002,76,38,0,16,21,20,19,0.07210302352905273
clifford_simp,q8_gates1000_pt0.04_seeds1002,269,165,31,41,17,132,48,0.0904991626739502
clifford_simp,q8_gates1000_pt0.08_seeds1002,409,259,57,64,22,164,102,0.10294532775878906
clifford_simp,q8_gates1000_pt0.12_seeds1002,532,313,86,86,32,235,93,0.13936948776245117
clifford_simp,q8_gates1000_pt0.16_seeds1002,554,325,95,94,25,239,101,0.09812378883361816
clifford_simp,q8_gates1000_pt0.2_seeds1002,586,360,94,95,32,243,122,0.09995651245117188
clifford_simp,q8_gates1000_pt0.24_seeds1002,599,324,105,109,17,276,92,0.08811044692993164
clifford_simp,q8_gates1000_pt0.28_seeds1002,588,324,110,95,26,245,112,0.0940544605255127
clifford_simp,q8_gates1000_pt0.32_seeds1002,542,294,105,96,24,226,91,0.09761214256286621
clifford_simp,q8_gates1000_pt0.36_seeds1002,576,322,113,103,26,229,105,0.09679770469665527
clifford_simp,q8_gates1000_pt0.4_seeds1002,536,275,111,104,18,220,83,0.08021092414855957
clifford_simp,q8_gates2000_pt0.0_seeds1002,65,38,0,11,20,24,10,0.18107986450195312
clifford_simp,q8_gates2000_pt0.04_seeds1002,413,277,55,61,31,191,75,0.1933743953704834
clifford_simp,q8_gates2000_pt0.08_seeds1002,680,455,102,108,45,295,130,0.2553670406341553
clifford_simp,q8_gates2000_pt0.12_seeds1002,895,567,151,144,32,403,165,0.21364831924438477
clifford_simp,q8_gates2000_pt0.16_seeds1002,1067,639,181,172,40,440,234,0.2437746524810791
clifford_simp,q8_gates2000_pt0.2_seeds1002,1150,687,199,172,46,500,233,0.24557852745056152
clifford_simp,q8_gates2000_pt0.24_seeds1002,1141,661,209,176,35,505,216,0.2501363754272461
clifford_simp,q8_gates2000_pt0.28_seeds1002,1155,648,220,181,45,490,219,0.2036757469177246
clifford_simp,q8_gates2000_pt0.32_seeds1002,1089,596,215,182,36,475,181,0.22739624977111816
clifford_simp,q8_gates2000_pt0.36_seeds1002,1163,628,239,217,40,470,197,0.17468476295471191
clifford_simp,q8_gates2000_pt0.4_seeds1002,1076,588,227,198,39,447,165,0.18774628639221191
clifford_simp,q8_gates5000_pt0.0_seeds1002,74,32,0,17,21,31,5,0.6136074066162109
clifford_simp,q8_gates5000_pt0.04_seeds1002,1167,794,166,172,73,488,268,0.7948057651519775
clifford_simp,q8_gates5000_pt0.08_seeds1002,1820,1150,290,287,90,795,358,0.7962985038757324
clifford_simp,q8_gates5000_pt0.12_seeds1002,2308,1411,387,376,63,1107,375,0.7578253746032715
clifford_simp,q8_gates5000_pt0.16_seeds1002,2598,1561,453,406,99,1197,443,0.6813499927520752
clifford_simp,q8_gates5000_pt0.2_seeds1002,2796,1644,499,442,119,1299,437,0.7730231285095215
clifford_simp,q8_gates5000_pt0.24_seeds1002,2828,1585,533,465,89,1289,452,0.6359682083129883
clifford_simp,q8_gates5000_pt0.28_seeds1002,2931,1678,565,484,96,1350,436,0.747584342956543
clifford_simp,q8_gates5000_pt0.32_seeds1002,2782,1567,563,464,111,1165,479,0.7094857692718506
clifford_simp,q8_gates5000_pt0.36_seeds1002,2789,1586,581,493,77,1144,494,0.6497716903686523
clifford_simp,q8_gates5000_pt0.4_seeds1002,2739,1512,571,493,100,1112,463,0.6556124687194824
clifford_simp,q8_gates10000_pt0.0_seeds1002,62,36,0,11,15,24,12,1.5898878574371338
clifford_simp,q8_gates10000_pt0.04_seeds1002,2350,1568,354,363,140,1038,455,1.9161052703857422
clifford_simp,q8_gates10000_pt0.08_seeds1002,3844,2432,623,602,162,1712,745,1.851156234741211
clifford_simp,q8_gates10000_pt0.12_seeds1002,4765,2901,794,753,177,2194,847,1.7511777877807617
clifford_simp,q8_gates10000_pt0.16_seeds1002,5258,3174,936,829,212,2320,961,1.7273833751678467
clifford_simp,q8_gates10000_pt0.2_seeds1002,5754,3414,1036,897,189,2601,1031,2.021374225616455
clifford_simp,q8_gates10000_pt0.24_seeds1002,5877,3360,1119,949,208,2632,969,1.7867085933685303
clifford_simp,q8_gates10000_pt0.28_seeds1002,5817,3223,1157,968,207,2435,1050,1.7496669292449951
clifford_simp,q8_gates10000_pt0.32_seeds1002,5601,3109,1172,955,187,2347,940,2.086214780807495
clifford_simp,q8_gates10000_pt0.36_seeds1002,5633,3136,1195,981,186,2420,851,1.807145118713379
clifford_simp,q8_gates10000_pt0.4_seeds1002,5471,2989,1145,947,184,2315,880,1.6933391094207764
clifford_simp,q8_gates50000_pt0.0_seeds1002,79,39,0,13,22,31,13,19.880128622055054
clifford_simp,q8_gates50000_pt0.04_seeds1002,11402,7634,1761,1749,695,4992,2205,24.489158630371094
clifford_simp,q8_gates50000_pt0.08_seeds1002,18859,11716,3056,2909,952,8525,3417,24.002971172332764
clifford_simp,q8_gates50000_pt0.12_seeds1002,23562,14331,3974,3656,1032,10600,4300,24.396759033203125
clifford_simp,q8_gates50000_pt0.16_seeds1002,26450,16001,4640,4106,1093,11890,4721,28.434805870056152
clifford_simp,q8_gates50000_pt0.2_seeds1002,27893,16408,5096,4373,1079,12630,4715,31.07935404777527
clifford_simp,q8_gates50000_pt0.24_seeds1002,28878,16574,5519,4663,1103,12759,4834,28.02584457397461
clifford_simp,q8_gates50000_pt0.28_seeds1002,29062,16364,5762,4710,1191,12809,4590,31.83155870437622
clifford_simp,q8_gates50000_pt0.32_seeds1002,28708,16358,5859,4786,1018,12490,4555,28.062893867492676
clifford_simp,q8_gates50000_pt0.36_seeds1002,28280,15676,5964,4762,1074,12112,4368,32.92793583869934
clifford_simp,q8_gates50000_pt0.4_seeds1002,27286,14986,5907,4678,974,11579,4148,26.39416527748108
clifford_simp,q12_gates100_pt0.0_seeds1002,127,60,0,20,24,49,34,0.01755499839782715
clifford_simp,q12_gates100_pt0.04_seeds1002,89,42,5,13,21,37,13,0.011097908020019531
clifford_simp,q12_gates100_pt0.08_seeds1002,100,52,5,12,23,42,18,0.010407209396362305
clifford_simp,q12_gates100_pt0.12_seeds1002,75,34,10,13,13,31,8,0.008202552795410156
clifford_simp,q12_gates100_pt0.16_seeds1002,78,27,13,18,11,25,11,0.00767207145690918
clifford_simp,q12_gates100_pt0.2_seeds1002,79,26,14,18,12,24,11,0.007653951644897461
clifford_simp,q12_gates100_pt0.24_seeds1002,84,39,15,20,10,19,20,0.010144472122192383
clifford_simp,q12_gates100_pt0.28_seeds1002,78,26,17,16,8,29,8,0.009201288223266602
clifford_simp,q12_gates100_pt0.32_seeds1002,83,29,16,19,7,26,15,0.008143424987792969
clifford_simp,q12_gates100_pt0.36_seeds1002,77,40,15,11,12,28,11,0.009445667266845703
clifford_simp,q12_gates100_pt0.4_seeds1002,87,45,15,10,8,33,21,0.009577751159667969
clifford_simp,q12_gates500_pt0.0_seeds1002,130,51,0,19,34,54,23,0.05637383460998535
clifford_simp,q12_gates500_pt0.04_seeds1002,302,183,21,38,41,119,83,0.08986401557922363
clifford_simp,q12_gates500_pt0.08_seeds1002,342,180,31,42,31,157,81,0.0728447437286377
clifford_simp,q12_gates500_pt0.12_seeds1002,396,217,49,50,23,181,93,0.07394576072692871
clifford_simp,q12_gates500_pt0.16_seeds1002,393,219,51,53,17,169,103,0.07529520988464355
clifford_simp,q12_gates500_pt0.2_seeds1002,409,179,63,60,24,188,74,0.06233048439025879
clifford_simp,q12_gates500_pt0.24_seeds1002,421,211,62,60,24,174,101,0.06975531578063965
clifford_simp,q12_gates500_pt0.28_seeds1002,413,225,63,55,18,202,75,0.06507658958435059
clifford_simp,q12_gates500_pt0.32_seeds1002,410,211,57,56,23,180,94,0.05569911003112793
clifford_simp,q12_gates500_pt0.36_seeds1002,370,221,55,46,26,166,77,0.05089831352233887
clifford_simp,q12_gates500_pt0.4_seeds1002,373,196,58,43,28,176,68,0.06083059310913086
clifford_simp,q12_gates1000_pt0.0_seeds1002,134,68,0,19,24,65,26,0.14507436752319336
clifford_simp,q12_gates1000_pt0.04_seeds1002,441,270,38,56,33,179,135,0.228010892868042
clifford_simp,q12_gates1000_pt0.08_seeds1002,604,367,60,70,43,242,189,0.1843271255493164
clifford_simp,q12_gates1000_pt0.12_seeds1002,714,420,82,87,35,331,179,0.16156554222106934
clifford_simp,q12_gates1000_pt0.16_seeds1002,738,402,96,95,40,278,229,0.17496156692504883
clifford_simp,q12_gates1000_pt0.2_seeds1002,801,428,113,106,29,294,259,0.15303421020507812
clifford_simp,q12_gates1000_pt0.24_seeds1002,759,392,116,101,36,320,186,0.1630721092224121
clifford_simp,q12_gates1000_pt0.28_seeds1002,750,357,116,104,31,286,213,0.12914156913757324
clifford_simp,q12_gates1000_pt0.32_seeds1002,739,408,117,96,31,310,185,0.114410400390625
clifford_simp,q12_gates1000_pt0.36_seeds1002,723,389,105,88,28,339,163,0.13519644737243652
clifford_simp,q12_gates1000_pt0.4_seeds1002,689,355,110,84,30,313,152,0.12525105476379395
clifford_simp,q12_gates2000_pt0.0_seeds1002,147,66,0,22,27,57,41,0.2685892581939697
clifford_simp,q12_gates2000_pt0.04_seeds1002,650,393,60,76,57,251,206,0.47940540313720703
clifford_simp,q12_gates2000_pt0.08_seeds1002,1046,640,109,122,68,412,335,0.47418665885925293
