optimize_name,qubit,input_gates,p_t,seeds,H_edge,H + 2 qubit gates,H,2 qubit gates,gates_aft
clifford_simp_not_post_basic,4,100,0.0,1,22,23,12,11,28
clifford_simp_not_post_basic,4,100,0.0,2,18,19,10,9,24
clifford_simp_not_post_basic,4,100,0.0,3,20,22,11,11,29
clifford_simp_not_post_basic,4,100,0.0,4,20,20,9,11,23
clifford_simp_not_post_basic,4,100,0.0,5,22,25,12,13,32
clifford_simp_not_post_basic,4,100,0.04,1,47,36,16,20,46
clifford_simp_not_post_basic,4,100,0.04,2,38,34,14,20,43
clifford_simp_not_post_basic,4,100,0.04,3,19,22,10,12,29
clifford_simp_not_post_basic,4,100,0.04,4,22,22,10,12,29
clifford_simp_not_post_basic,4,100,0.04,5,22,21,9,12,28
clifford_simp_not_post_basic,4,100,0.08,1,33,34,15,19,45
clifford_simp_not_post_basic,4,100,0.08,2,30,27,12,15,38
clifford_simp_not_post_basic,4,100,0.08,3,20,24,10,14,32
clifford_simp_not_post_basic,4,100,0.08,4,34,26,12,14,30
clifford_simp_not_post_basic,4,100,0.08,5,43,43,22,21,55
clifford_simp_not_post_basic,4,100,0.12,1,56,50,19,31,65
clifford_simp_not_post_basic,4,100,0.12,2,40,37,16,21,50
clifford_simp_not_post_basic,4,100,0.12,3,41,41,20,21,55
clifford_simp_not_post_basic,4,100,0.12,4,33,36,16,20,45
clifford_simp_not_post_basic,4,100,0.12,5,50,41,16,25,53
clifford_simp_not_post_basic,4,100,0.16,1,48,47,20,27,62
clifford_simp_not_post_basic,4,100,0.16,2,39,43,21,22,58
clifford_simp_not_post_basic,4,100,0.16,3,39,38,16,22,50
clifford_simp_not_post_basic,4,100,0.16,4,41,44,19,25,54
clifford_simp_not_post_basic,4,100,0.16,5,52,51,22,29,66
clifford_simp_not_post_basic,4,100,0.2,1,55,55,23,32,68
clifford_simp_not_post_basic,4,100,0.2,2,34,31,18,13,43
clifford_simp_not_post_basic,4,100,0.2,3,54,45,22,23,60
clifford_simp_not_post_basic,4,100,0.2,4,41,44,19,25,58
clifford_simp_not_post_basic,4,100,0.2,5,36,39,18,21,53
clifford_simp_not_post_basic,4,100,0.24,1,66,63,27,36,79
clifford_simp_not_post_basic,4,100,0.24,2,39,42,25,17,58
clifford_simp_not_post_basic,4,100,0.24,3,42,41,20,21,55
clifford_simp_not_post_basic,4,100,0.24,4,47,47,20,27,59
clifford_simp_not_post_basic,4,100,0.24,5,65,48,23,25,60
clifford_simp_not_post_basic,4,100,0.28,1,65,51,23,28,64
clifford_simp_not_post_basic,4,100,0.28,2,31,28,15,13,39
clifford_simp_not_post_basic,4,100,0.28,3,54,47,22,25,64
clifford_simp_not_post_basic,4,100,0.28,4,46,45,22,23,59
clifford_simp_not_post_basic,4,100,0.28,5,66,56,23,33,71
clifford_simp_not_post_basic,4,100,0.32,1,47,43,19,24,57
clifford_simp_not_post_basic,4,100,0.32,2,27,25,14,11,35
clifford_simp_not_post_basic,4,100,0.32,3,61,54,24,30,73
clifford_simp_not_post_basic,4,100,0.32,4,43,46,20,26,60
