optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
original,4,0.0,10000,1000,5165,10000,6648,3352,0,3316,3332,3352,0,5165,0.06389880180358887
original,4,0.0,10000,1001,5125,10000,6701,3299,0,3405,3296,3299,0,5125,0.05326414108276367
original,4,0.0,10000,1002,5119,10000,6716,3284,0,3337,3379,3284,0,5119,0.053151845932006836
original,4,0.0,10000,1003,5135,10000,6669,3331,0,3256,3413,3331,0,5135,0.0935525894165039
original,4,0.0,10000,1004,5090,10000,6797,3203,0,3439,3358,3203,0,5090,0.05447030067443848
original,4,0.04,10000,1000,5091,10000,6790,3210,397,3176,3217,3210,0,5091,0.055005788803100586
original,4,0.04,10000,1001,5053,10000,6820,3180,416,3275,3129,3180,0,5053,0.05534958839416504
original,4,0.04,10000,1002,5039,10000,6850,3150,394,3221,3235,3150,0,5039,0.09038591384887695
original,4,0.04,10000,1003,5069,10000,6800,3200,378,3137,3285,3200,0,5069,0.053648948669433594
original,4,0.04,10000,1004,5001,10000,6929,3071,392,3324,3213,3071,0,5001,0.05325031280517578
original,4,0.08,10000,1000,5011,10000,6932,3068,762,3017,3153,3068,0,5011,0.05597805976867676
original,4,0.08,10000,1001,4980,10000,6956,3044,808,3155,2993,3044,0,4980,0.09316539764404297
original,4,0.08,10000,1002,4967,10000,6978,3022,807,3078,3093,3022,0,4967,0.05481362342834473
original,4,0.08,10000,1003,4998,10000,6941,3059,807,3009,3125,3059,0,4998,0.062326669692993164
original,4,0.08,10000,1004,4916,10000,7066,2934,798,3199,3069,2934,0,4916,0.05546450614929199
original,4,0.12,10000,1000,4947,10000,7040,2960,1141,2897,3002,2960,0,4947,0.08918213844299316
original,4,0.12,10000,1001,4888,10000,7112,2888,1222,3014,2876,2888,0,4888,0.058014869689941406
original,4,0.12,10000,1002,4893,10000,7107,2893,1195,2967,2945,2893,0,4893,0.05981564521789551
original,4,0.12,10000,1003,4933,10000,7087,2913,1225,2872,2990,2913,0,4933,0.0572047233581543
original,4,0.12,10000,1004,4851,10000,7166,2834,1227,3021,2918,2834,0,4851,0.09744906425476074
original,4,0.16,10000,1000,4857,10000,7189,2811,1551,2785,2853,2811,0,4857,0.0561833381652832
original,4,0.16,10000,1001,4820,10000,7230,2770,1632,2900,2698,2770,0,4820,0.055423736572265625
original,4,0.16,10000,1002,4807,10000,7246,2754,1612,2839,2795,2754,0,4807,0.06026721000671387
original,4,0.16,10000,1003,4818,10000,7246,2754,1661,2714,2871,2754,0,4818,0.09844756126403809
original,4,0.16,10000,1004,4795,10000,7271,2729,1626,2883,2762,2729,0,4795,0.055016279220581055
original,4,0.2,10000,1000,4771,10000,7359,2641,1965,2666,2728,2641,0,4771,0.05754590034484863
original,4,0.2,10000,1001,4731,10000,7371,2629,1978,2758,2635,2629,0,4731,0.05867743492126465
original,4,0.2,10000,1002,4743,10000,7361,2639,1968,2688,2705,2639,0,4743,0.08961367607116699
original,4,0.2,10000,1003,4761,10000,7369,2631,2070,2573,2726,2631,0,4761,0.05570840835571289
original,4,0.2,10000,1004,4711,10000,7410,2590,2019,2754,2637,2590,0,4711,0.05673098564147949
original,4,0.24,10000,1000,4693,10000,7489,2511,2365,2543,2581,2511,0,4693,0.0921480655670166
original,4,0.24,10000,1001,4649,10000,7493,2507,2371,2619,2503,2507,0,4649,0.05550861358642578
original,4,0.24,10000,1002,4672,10000,7475,2525,2370,2532,2573,2525,0,4672,0.05540871620178223
original,4,0.24,10000,1003,4675,10000,7531,2469,2473,2458,2600,2469,0,4675,0.05670666694641113
original,4,0.24,10000,1004,4637,10000,7529,2471,2400,2613,2516,2471,0,4637,0.08803701400756836
original,4,0.28,10000,1000,4586,10000,7624,2376,2753,2397,2474,2376,0,4586,0.05743050575256348
original,4,0.28,10000,1001,4574,10000,7625,2375,2729,2474,2422,2375,0,4574,0.05543351173400879
original,4,0.28,10000,1002,4600,10000,7602,2398,2770,2383,2449,2398,0,4600,0.05480790138244629
original,4,0.28,10000,1003,4585,10000,7667,2333,2857,2336,2474,2333,0,4585,0.09960103034973145
original,4,0.28,10000,1004,4584,10000,7635,2365,2780,2481,2374,2365,0,4584,0.05669856071472168
original,4,0.32,10000,1000,4521,10000,7760,2240,3196,2271,2293,2240,0,4521,0.05521750450134277
original,4,0.32,10000,1001,4496,10000,7760,2240,3150,2316,2294,2240,0,4496,0.05723285675048828
original,4,0.32,10000,1002,4505,10000,7727,2273,3177,2222,2328,2273,0,4505,0.08912825584411621
original,4,0.32,10000,1003,4516,10000,7785,2215,3254,2217,2314,2215,0,4516,0.0554203987121582
original,4,0.32,10000,1004,4505,10000,7780,2220,3172,2335,2273,2220,0,4505,0.05693674087524414
original,4,0.36,10000,1000,4426,10000,7886,2114,3596,2135,2155,2114,0,4426,0.08915281295776367
original,4,0.36,10000,1001,4391,10000,7907,2093,3540,2185,2182,2093,0,4391,0.05530834197998047
original,4,0.36,10000,1002,4425,10000,7877,2123,3632,2079,2166,2123,0,4425,0.055780887603759766
original,4,0.36,10000,1003,4440,10000,7918,2082,3649,2099,2170,2082,0,4440,0.055846452713012695
original,4,0.36,10000,1004,4424,10000,7902,2098,3571,2207,2124,2098,0,4424,0.08946537971496582
original,4,0.4,10000,1000,4369,10000,7979,2021,3992,1996,1991,2021,0,4369,0.05548715591430664
original,4,0.4,10000,1001,4307,10000,8026,1974,3953,2035,2038,1974,0,4307,0.05630970001220703
original,4,0.4,10000,1002,4325,10000,8021,1979,4044,1973,2004,1979,0,4325,0.05641365051269531
original,4,0.4,10000,1003,4335,10000,8055,1945,4050,1980,2025,1945,0,4335,0.09005379676818848
original,4,0.4,10000,1004,4342,10000,8025,1975,3920,2063,2042,1975,0,4342,0.05518198013305664
original,8,0.0,10000,1000,3003,10000,6664,3336,0,3327,3337,3336,0,3003,0.056491851806640625
original,8,0.0,10000,1001,2966,10000,6751,3249,0,3421,3330,3249,0,2966,0.05342888832092285
original,8,0.0,10000,1002,2969,10000,6740,3260,0,3354,3386,3260,0,2969,0.08644843101501465
original,8,0.0,10000,1003,2990,10000,6689,3311,0,3269,3420,3311,0,2990,0.054343223571777344
original,8,0.0,10000,1004,2961,10000,6751,3249,0,3417,3334,3249,0,2961,0.05521559715270996
original,8,0.04,10000,1000,2931,10000,6822,3178,404,3196,3222,3178,0,2931,0.05523514747619629
original,8,0.04,10000,1001,2952,10000,6871,3129,415,3284,3172,3129,0,2952,0.0890500545501709
original,8,0.04,10000,1002,2927,10000,6882,3118,408,3234,3240,3118,0,2927,0.05509233474731445
original,8,0.04,10000,1003,2935,10000,6823,3177,387,3157,3279,3177,0,2935,0.05756640434265137
original,8,0.04,10000,1004,2892,10000,6897,3103,411,3296,3190,3103,0,2892,0.05464982986450195
original,8,0.08,10000,1000,2872,10000,6953,3047,767,3046,3140,3047,0,2872,0.08936953544616699
