optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
phase,4,0.0,10000,1000,5165,4268,2245,2023,0,875,1370,1726,297,2805,2.3582656383514404
phase,4,0.0,10000,1001,5125,4122,2127,1995,0,822,1305,1688,307,2715,2.2062604427337646
phase,4,0.0,10000,1002,5119,4212,2226,1986,0,857,1369,1705,281,2756,2.394876480102539
phase,4,0.0,10000,1003,5135,4180,2204,1976,0,845,1359,1682,294,2754,2.149045705795288
phase,4,0.0,10000,1004,5090,4292,2277,2015,0,910,1367,1706,309,2790,2.445148229598999
phase,4,0.04,10000,1000,5091,4446,2433,2013,329,949,1155,1698,315,2886,2.381479501724243
phase,4,0.04,10000,1001,5053,4368,2369,1999,350,911,1108,1687,312,2853,2.356309652328491
phase,4,0.04,10000,1002,5039,4428,2487,1941,342,951,1194,1652,289,2811,2.8221042156219482
phase,4,0.04,10000,1003,5069,4402,2432,1970,308,915,1209,1690,280,2837,2.622382879257202
phase,4,0.04,10000,1004,5001,4458,2497,1961,338,958,1201,1688,273,2847,2.6321535110473633
phase,4,0.08,10000,1000,5011,4581,2606,1975,574,998,1034,1681,294,2896,2.4905121326446533
phase,4,0.08,10000,1001,4980,4637,2656,1981,610,1001,1045,1720,261,2906,2.5869107246398926
phase,4,0.08,10000,1002,4967,4583,2664,1919,609,1013,1042,1642,277,2867,2.541957139968872
phase,4,0.08,10000,1003,4998,4642,2688,1954,563,1008,1117,1691,263,2868,2.6725780963897705
phase,4,0.08,10000,1004,4916,4485,2610,1875,586,1010,1014,1607,268,2802,2.5888493061065674
phase,4,0.12,10000,1000,4947,4717,2743,1974,733,1057,953,1685,289,2945,2.5962469577789307
phase,4,0.12,10000,1001,4888,4679,2748,1931,776,1041,931,1660,271,2878,2.999560594558716
phase,4,0.12,10000,1002,4893,4691,2798,1893,757,1075,966,1626,267,2914,2.4905481338500977
phase,4,0.12,10000,1003,4933,4712,2811,1901,757,1068,986,1621,280,2874,2.630845546722412
phase,4,0.12,10000,1004,4851,4601,2746,1855,767,1060,919,1619,236,2795,2.4392452239990234
phase,4,0.16,10000,1000,4857,4706,2807,1899,877,1080,850,1638,261,2888,2.588855504989624
phase,4,0.16,10000,1001,4820,4714,2859,1855,928,1098,833,1592,263,2878,2.5779852867126465
phase,4,0.16,10000,1002,4807,4719,2875,1844,902,1105,868,1596,248,2804,2.461324691772461
phase,4,0.16,10000,1003,4818,4623,2807,1816,895,1068,844,1571,245,2785,2.5980589389801025
phase,4,0.16,10000,1004,4795,4724,2886,1838,922,1110,854,1582,256,2860,2.6409902572631836
phase,4,0.2,10000,1000,4771,4706,2868,1838,971,1093,804,1582,256,2847,2.2742838859558105
phase,4,0.2,10000,1001,4731,4651,2876,1775,980,1102,794,1515,260,2801,2.4206368923187256
phase,4,0.2,10000,1002,4743,4697,2880,1817,964,1106,810,1557,260,2812,2.4690253734588623
phase,4,0.2,10000,1003,4761,4619,2872,1747,1008,1114,750,1547,200,2685,2.8061623573303223
phase,4,0.2,10000,1004,4711,4675,2886,1789,991,1128,767,1559,230,2796,2.5043795108795166
phase,4,0.24,10000,1000,4693,4734,2946,1788,1039,1120,787,1561,227,2817,2.3377697467803955
phase,4,0.24,10000,1001,4649,4549,2850,1699,1023,1086,741,1474,225,2713,2.211167812347412
phase,4,0.24,10000,1002,4672,4677,2927,1750,1024,1123,780,1531,219,2785,2.2911217212677
phase,4,0.24,10000,1003,4675,4575,2856,1719,1049,1104,703,1495,224,2694,2.1501619815826416
phase,4,0.24,10000,1004,4637,4619,2895,1724,1036,1125,734,1512,212,2759,2.342103958129883
phase,4,0.28,10000,1000,4586,4637,2911,1726,1079,1116,716,1494,232,2765,2.450268030166626
phase,4,0.28,10000,1001,4574,4436,2818,1618,1079,1067,672,1443,175,2640,2.429655075073242
phase,4,0.28,10000,1002,4600,4602,2913,1689,1090,1102,721,1488,201,2695,2.4431700706481934
phase,4,0.28,10000,1003,4585,4515,2856,1659,1105,1093,658,1449,210,2650,2.348829746246338
phase,4,0.28,10000,1004,4584,4525,2881,1644,1124,1117,640,1449,195,2691,2.122499942779541
phase,4,0.32,10000,1000,4521,4521,2892,1629,1130,1114,648,1438,191,2658,2.4543373584747314
phase,4,0.32,10000,1001,4496,4326,2794,1532,1122,1068,604,1348,184,2523,2.471831798553467
phase,4,0.32,10000,1002,4505,4483,2864,1619,1099,1104,661,1438,181,2613,2.5904064178466797
phase,4,0.32,10000,1003,4516,4449,2833,1616,1156,1080,597,1400,216,2606,2.1721229553222656
phase,4,0.32,10000,1004,4505,4368,2805,1563,1140,1082,583,1385,178,2556,2.2174813747406006
phase,4,0.36,10000,1000,4426,4284,2745,1539,1114,1046,585,1358,181,2541,2.480618953704834
phase,4,0.36,10000,1001,4391,4222,2746,1476,1148,1043,555,1307,169,2428,2.206650972366333
phase,4,0.36,10000,1002,4425,4355,2805,1550,1126,1076,603,1390,160,2544,2.166194200515747
phase,4,0.36,10000,1003,4440,4313,2769,1544,1155,1060,554,1360,184,2486,2.105776309967041
phase,4,0.36,10000,1004,4424,4257,2773,1484,1143,1058,572,1323,161,2519,2.180461883544922
phase,4,0.4,10000,1000,4369,4161,2683,1478,1088,1029,566,1306,172,2438,2.3865854740142822
phase,4,0.4,10000,1001,4307,4081,2661,1420,1103,1004,554,1268,152,2310,2.036137342453003
phase,4,0.4,10000,1002,4325,4160,2706,1454,1098,1030,578,1287,167,2409,2.185364246368408
phase,4,0.4,10000,1003,4335,4133,2689,1444,1130,1013,546,1282,162,2362,2.437077045440674
phase,4,0.4,10000,1004,4342,4159,2724,1435,1110,1037,577,1279,156,2429,2.099424362182617
phase,8,0.0,10000,1000,3003,5238,2458,2780,0,972,1486,2299,481,2256,2.6048741340637207
phase,8,0.0,10000,1001,2966,5168,2467,2701,0,992,1475,2220,481,2258,2.7553257942199707
phase,8,0.0,10000,1002,2969,5086,2400,2686,0,950,1450,2201,485,2214,2.9793577194213867
phase,8,0.0,10000,1003,2990,5114,2345,2769,0,928,1417,2269,500,2221,2.769961357116699
phase,8,0.0,10000,1004,2961,5108,2391,2717,0,958,1433,2212,505,2250,2.963433027267456
phase,8,0.04,10000,1000,2931,5263,2611,2652,344,1025,1242,2168,484,2205,3.080392837524414
phase,8,0.04,10000,1001,2952,5345,2704,2641,357,1057,1290,2189,452,2256,2.9214389324188232
phase,8,0.04,10000,1002,2927,5300,2666,2634,354,1022,1290,2151,483,2226,3.027912139892578
phase,8,0.04,10000,1003,2935,5275,2571,2704,347,985,1239,2211,493,2238,2.633524179458618
phase,8,0.04,10000,1004,2892,5262,2624,2638,367,1036,1221,2193,445,2220,3.0088255405426025
phase,8,0.08,10000,1000,2872,5310,2736,2574,589,1051,1096,2119,455,2143,2.9806997776031494
phase,8,0.08,10000,1001,2893,5369,2830,2539,605,1095,1130,2060,479,2183,2.9396512508392334
phase,8,0.08,10000,1002,2878,5461,2892,2569,623,1111,1158,2116,453,2255,2.650134325027466
phase,8,0.08,10000,1003,2885,5316,2703,2613,585,1019,1099,2183,430,2149,2.670297622680664
phase,8,0.08,10000,1004,2831,5355,2815,2540,635,1075,1105,2097,443,2168,2.5409932136535645
