optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
phase_full,4,0.0,10000,1000,5165,1880,907,973,0,349,558,776,197,1260,3.89357852935791
phase_full,4,0.0,10000,1001,5125,1895,909,986,0,355,554,781,205,1254,4.4942615032196045
phase_full,4,0.0,10000,1002,5119,1814,836,978,0,329,507,772,206,1217,5.897325754165649
phase_full,4,0.0,10000,1003,5135,1823,869,954,0,347,522,755,199,1205,6.191803455352783
phase_full,4,0.0,10000,1004,5090,1980,934,1046,0,363,571,827,219,1303,7.865337610244751
phase_full,4,0.04,10000,1000,5091,2962,1506,1456,329,570,607,1186,270,1978,10.154003620147705
phase_full,4,0.04,10000,1001,5053,2934,1496,1438,350,575,571,1175,263,1966,12.08194613456726
phase_full,4,0.04,10000,1002,5039,3038,1523,1515,342,581,600,1246,269,2010,6.010730028152466
phase_full,4,0.04,10000,1003,5069,2792,1394,1398,308,539,547,1130,268,1874,5.335028409957886
phase_full,4,0.04,10000,1004,5001,3085,1566,1519,338,597,631,1250,269,2101,6.880026578903198
phase_full,4,0.08,10000,1000,5011,3798,1966,1832,574,732,660,1526,306,2553,5.912743806838989
phase_full,4,0.08,10000,1001,4980,3909,1965,1944,610,743,612,1611,333,2643,6.541682243347168
phase_full,4,0.08,10000,1002,4967,3854,1975,1879,609,731,635,1591,288,2606,6.463658094406128
phase_full,4,0.08,10000,1003,4998,3789,1895,1894,563,722,610,1560,334,2577,6.082219362258911
phase_full,4,0.08,10000,1004,4916,3738,1893,1845,586,723,584,1519,326,2565,6.620446681976318
phase_full,4,0.12,10000,1000,4947,4374,2242,2132,733,838,671,1767,365,2964,7.068609237670898
phase_full,4,0.12,10000,1001,4888,4373,2242,2131,776,842,624,1761,370,2964,7.781867504119873
phase_full,4,0.12,10000,1002,4893,4219,2204,2015,757,833,614,1693,322,2892,7.746227979660034
phase_full,4,0.12,10000,1003,4933,4370,2247,2123,757,847,643,1768,355,2912,8.314683675765991
phase_full,4,0.12,10000,1004,4851,4296,2255,2041,767,853,635,1737,304,2915,8.365731239318848
phase_full,4,0.16,10000,1000,4857,4715,2428,2287,877,887,664,1914,373,3216,8.479761123657227
phase_full,4,0.16,10000,1001,4820,4768,2463,2305,928,937,598,1943,362,3277,9.163638591766357
