optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
phase_no_preaft,4,0.0,10000,1000,5165,10000,6648,3352,0,3316,3332,3352,0,5165,2.305968999862671
phase_no_preaft,4,0.0,10000,1001,5125,10000,6701,3299,0,3405,3296,3299,0,5125,2.2377493381500244
phase_no_preaft,4,0.0,10000,1002,5119,10000,6716,3284,0,3337,3379,3284,0,5119,2.3020782470703125
phase_no_preaft,4,0.0,10000,1003,5135,10000,6669,3331,0,3256,3413,3331,0,5135,2.5097532272338867
phase_no_preaft,4,0.0,10000,1004,5090,10000,6797,3203,0,3439,3358,3203,0,5090,2.173023223876953
phase_no_preaft,4,0.04,10000,1000,5091,9963,6753,3210,329,3176,3248,3210,0,5080,2.4712753295898438
phase_no_preaft,4,0.04,10000,1001,5053,9964,6784,3180,350,3275,3159,3180,0,5050,2.3022074699401855
phase_no_preaft,4,0.04,10000,1002,5039,9972,6822,3150,342,3221,3259,3150,0,5028,2.353060722351074
phase_no_preaft,4,0.04,10000,1003,5069,9964,6764,3200,308,3137,3319,3200,0,5056,2.4302163124084473
phase_no_preaft,4,0.04,10000,1004,5001,9972,6901,3071,338,3324,3239,3071,0,4992,2.4997386932373047
phase_no_preaft,4,0.08,10000,1000,5011,9901,6833,3068,574,3017,3242,3068,0,4977,2.4888386726379395
phase_no_preaft,4,0.08,10000,1001,4980,9897,6853,3044,610,3155,3088,3044,0,4946,2.5220489501953125
phase_no_preaft,4,0.08,10000,1002,4967,9895,6873,3022,609,3078,3186,3022,0,4935,2.4918863773345947
phase_no_preaft,4,0.08,10000,1003,4998,9872,6813,3059,563,3009,3241,3059,0,4951,2.381593704223633
phase_no_preaft,4,0.08,10000,1004,4916,9888,6954,2934,586,3199,3169,2934,0,4880,2.35786509513855
phase_no_preaft,4,0.12,10000,1000,4947,9789,6829,2960,733,2897,3199,2960,0,4879,2.5071167945861816
phase_no_preaft,4,0.12,10000,1001,4888,9771,6883,2888,776,3014,3093,2888,0,4816,2.748004198074341
phase_no_preaft,4,0.12,10000,1002,4893,9778,6885,2893,757,2967,3161,2893,0,4825,2.575927734375
phase_no_preaft,4,0.12,10000,1003,4933,9759,6846,2913,757,2872,3217,2913,0,4849,2.3651740550994873
phase_no_preaft,4,0.12,10000,1004,4851,9764,6930,2834,767,3021,3142,2834,0,4783,2.5817136764526367
phase_no_preaft,4,0.16,10000,1000,4857,9652,6841,2811,877,2785,3179,2811,0,4742,2.5001626014709473
phase_no_preaft,4,0.16,10000,1001,4820,9644,6874,2770,928,2900,3046,2770,0,4709,2.36301589012146
phase_no_preaft,4,0.16,10000,1002,4807,9641,6887,2754,902,2839,3146,2754,0,4700,2.4537675380706787
phase_no_preaft,4,0.16,10000,1003,4818,9611,6857,2754,895,2714,3248,2754,0,4684,2.369927167892456
phase_no_preaft,4,0.16,10000,1004,4795,9642,6913,2729,922,2883,3108,2729,0,4676,2.384608507156372
phase_no_preaft,4,0.2,10000,1000,4771,9495,6854,2641,971,2666,3217,2641,0,4596,2.4645018577575684
phase_no_preaft,4,0.2,10000,1001,4731,9498,6869,2629,980,2758,3131,2629,0,4584,2.422663450241089
phase_no_preaft,4,0.2,10000,1002,4743,9494,6855,2639,964,2688,3203,2639,0,4580,2.43743896484375
phase_no_preaft,4,0.2,10000,1003,4761,9463,6832,2631,1008,2573,3251,2631,0,4583,2.5066027641296387
phase_no_preaft,4,0.2,10000,1004,4711,9480,6890,2590,991,2754,3145,2590,0,4538,2.4744534492492676
phase_no_preaft,4,0.24,10000,1000,4693,9326,6815,2511,1039,2543,3233,2511,0,4468,2.526555061340332
phase_no_preaft,4,0.24,10000,1001,4649,9320,6813,2507,1023,2619,3171,2507,0,4438,2.359452724456787
phase_no_preaft,4,0.24,10000,1002,4672,9317,6792,2525,1024,2532,3236,2525,0,4456,2.3871710300445557
phase_no_preaft,4,0.24,10000,1003,4675,9282,6813,2469,1049,2458,3306,2469,0,4437,2.4230196475982666
phase_no_preaft,4,0.24,10000,1004,4637,9309,6838,2471,1036,2613,3189,2471,0,4408,2.3450241088867188
phase_no_preaft,4,0.28,10000,1000,4586,9147,6771,2376,1079,2397,3295,2376,0,4312,2.3519678115844727
phase_no_preaft,4,0.28,10000,1001,4574,9169,6794,2375,1079,2474,3241,2375,0,4310,2.444606065750122
phase_no_preaft,4,0.28,10000,1002,4600,9151,6753,2398,1090,2383,3280,2398,0,4328,2.393362283706665
phase_no_preaft,4,0.28,10000,1003,4585,9113,6780,2333,1105,2336,3339,2333,0,4300,2.3518733978271484
phase_no_preaft,4,0.28,10000,1004,4584,9162,6797,2365,1124,2481,3192,2365,0,4314,2.3888463973999023
phase_no_preaft,4,0.32,10000,1000,4521,8956,6716,2240,1130,2271,3315,2240,0,4195,2.407411575317383
phase_no_preaft,4,0.32,10000,1001,4496,8975,6735,2240,1122,2316,3297,2240,0,4168,2.5261099338531494
phase_no_preaft,4,0.32,10000,1002,4505,8949,6676,2273,1099,2222,3355,2273,0,4177,2.4645040035247803
phase_no_preaft,4,0.32,10000,1003,4516,8943,6728,2215,1156,2217,3355,2215,0,4188,2.4338269233703613
