Circuit,optimize_name,n_qubits,optimize_gates,optimize_t,optimize_2,optimize_other,optimize_depth,optimize_depth,time
mod5_4,original,5,63,28,28,7,0,0,9.012222290039062e-05
mod5_4,basic,5,54,22,27,5,0,0,0.0034999847412109375
mod5_4,phase_basic,5,54,22,27,5,0,0,0.00863027572631836
mod5_4,basic_full_basic,5,35,8,25,2,0,0,0.00975489616394043
mod5_4,phase_full_basic,5,35,8,25,2,0,0,0.012744426727294922
mod5_4,basic_clifford_basic,5,63,22,38,3,0,0,0.010808467864990234
mod5_4,phase_clifford_basic,5,63,22,38,3,0,0,0.013365983963012695
mod5_4,phase_basic_full_basic,5,35,8,25,2,0,0,0.014969110488891602
mod5_4,phase_basic_clifford_basic,5,63,22,38,3,0,0,0.015560626983642578
vbe_adder_3,original,10,150,70,70,10,0,0,4.76837158203125e-07
vbe_adder_3,basic,10,128,56,58,14,0,0,0.0032117366790771484
vbe_adder_3,phase_basic,10,128,56,58,14,0,0,0.01809978485107422
vbe_adder_3,basic_full_basic,10,111,24,67,20,0,0,0.025945186614990234
vbe_adder_3,phase_full_basic,10,110,24,60,26,0,0,0.03761696815490723
vbe_adder_3,basic_clifford_basic,10,166,56,96,14,0,0,0.03104543685913086
vbe_adder_3,phase_clifford_basic,10,144,56,74,14,0,0,0.03809213638305664
vbe_adder_3,phase_basic_full_basic,10,111,24,67,20,0,0,0.044281721115112305
vbe_adder_3,phase_basic_clifford_basic,10,166,56,96,14,0,0,0.04460000991821289
csla_mux_3_original,original,15,170,70,80,20,0,0,4.76837158203125e-07
csla_mux_3_original,basic,15,155,64,75,16,0,0,0.00709223747253418
csla_mux_3_original,phase_basic,15,155,64,75,16,0,0,0.022585153579711914
csla_mux_3_original,basic_full_basic,15,254,62,176,16,0,0,0.04724621772766113
csla_mux_3_original,phase_full_basic,15,270,62,190,18,0,0,0.06275796890258789
csla_mux_3_original,basic_clifford_basic,15,180,64,102,14,0,0,0.03893256187438965
csla_mux_3_original,phase_clifford_basic,15,190,64,111,15,0,0,0.047090768814086914
csla_mux_3_original,phase_basic_full_basic,15,254,62,176,16,0,0,0.06156277656555176
csla_mux_3_original,phase_basic_clifford_basic,15,180,64,102,14,0,0,0.05289864540100098
csum_mux_9_corrected,original,30,448,196,168,84,0,0,2.384185791015625e-07
csum_mux_9_corrected,basic,30,364,168,168,28,0,0,0.008140325546264648
csum_mux_9_corrected,phase_basic,30,364,168,168,28,0,0,0.053400278091430664
csum_mux_9_corrected,basic_full_basic,30,462,84,319,59,0,0,0.22518706321716309
csum_mux_9_corrected,phase_full_basic,30,446,84,303,59,0,0,0.2666134834289551
csum_mux_9_corrected,basic_clifford_basic,30,394,164,200,30,0,0,0.3251333236694336
csum_mux_9_corrected,phase_clifford_basic,30,405,168,209,28,0,0,0.18864917755126953
csum_mux_9_corrected,phase_basic_full_basic,30,462,84,319,59,0,0,0.27100539207458496
csum_mux_9_corrected,phase_basic_clifford_basic,30,394,164,200,30,0,0,0.3580617904663086
