Circuit,optimize_name,n_qubits,optimize_gates,optimize_t,optimize_2,optimize_other,optimize_depth,optimize_depth,time
mod5_4,phase_basic_full_n_basic,5,35,8,25,2,0,0,0.028270959854125977
mod5_4,phase_basic_clifford_n_basic,5,59,22,34,3,0,0,0.12110137939453125
vbe_adder_3,phase_basic_full_n_basic,10,112,24,69,19,0,0,0.5627119541168213
vbe_adder_3,phase_basic_clifford_n_basic,10,165,56,96,13,0,0,0.47729015350341797
csla_mux_3_original,phase_basic_full_n_basic,15,235,62,155,18,0,0,4.360208988189697
csla_mux_3_original,phase_basic_clifford_n_basic,15,180,64,102,14,0,0,2.1447370052337646
csum_mux_9_corrected,phase_basic_full_n_basic,30,433,84,303,46,0,0,5.760568618774414
csum_mux_9_corrected,phase_basic_clifford_n_basic,30,394,164,200,30,0,0,65.70191812515259
qcla_com_7,phase_basic_full_n_basic,24,349,95,204,50,0,0,86.0929479598999
qcla_com_7,phase_basic_clifford_n_basic,24,497,169,251,77,0,0,40.38140392303467
qcla_mod_7,phase_basic_full_n_basic,26,1046,237,682,127,0,0,1236.3852307796478
qcla_mod_7,phase_basic_clifford_n_basic,26,938,351,480,107,0,0,435.8205533027649
qcla_adder_10,phase_basic_full_n_basic,36,587,162,363,62,0,0,59.751394271850586
qcla_adder_10,phase_basic_clifford_n_basic,36,545,212,279,54,0,0,12.764302492141724
adder_8,phase_basic_full_n_basic,24,669,173,404,92,0,0,844.7084815502167
adder_8,phase_basic_clifford_n_basic,24,907,339,462,106,0,0,81.70358490943909
rc_adder_6,phase_basic_full_n_basic,14,185,47,107,31,0,0,8.490587949752808
rc_adder_6,phase_basic_clifford_n_basic,14,184,49,96,39,0,0,22.08013343811035
mod_red_21,phase_basic_full_n_basic,11,244,73,136,35,0,0,32.600194692611694
mod_red_21,phase_basic_clifford_n_basic,11,276,107,132,37,0,0,11.636229991912842
mod_mult_55,phase_basic_full_n_basic,9,131,35,83,13,0,0,1.1664299964904785
mod_mult_55,phase_basic_clifford_n_basic,9,122,43,67,12,0,0,0.20209217071533203
tof_3,phase_basic_full_n_basic,5,53,15,29,9,0,0,0.25739407539367676
tof_3,phase_basic_clifford_n_basic,5,48,19,22,7,0,0,0.06554174423217773
tof_4,phase_basic_full_n_basic,7,85,23,47,15,0,0,0.4520559310913086
tof_4,phase_basic_clifford_n_basic,7,81,31,38,12,0,0,0.1250598430633545
tof_5,phase_basic_full_n_basic,9,112,31,63,18,0,0,0.9868729114532471
tof_5,phase_basic_clifford_n_basic,9,111,43,51,17,0,0,0.17530417442321777
tof_10,phase_basic_full_n_basic,19,254,71,134,49,0,0,22.25332546234131
tof_10,phase_basic_clifford_n_basic,19,261,103,116,42,0,0,3.175175428390503
gf2^4_mult,phase_basic_full_n_basic,12,352,68,275,9,0,0,2.32362699508667
gf2^4_mult,phase_basic_clifford_n_basic,12,234,96,127,11,0,0,0.3045639991760254
gf2^5_mult,phase_basic_full_n_basic,15,468,115,342,11,0,0,17.623067140579224
gf2^5_mult,phase_basic_clifford_n_basic,15,351,155,186,10,0,0,0.5173869132995605
gf2^6_mult,phase_basic_full_n_basic,18,707,150,531,26,0,0,27.769309520721436
gf2^6_mult,phase_basic_clifford_n_basic,18,496,216,262,18,0,0,1.8219859600067139
gf2^7_mult,phase_basic_full_n_basic,21,1091,217,857,17,0,0,40.36854290962219
gf2^7_mult,phase_basic_clifford_n_basic,21,662,301,347,14,0,0,1.424074649810791
gf2^8_mult,phase_basic_full_n_basic,24,1489,264,1204,21,0,0,124.56875038146973
gf2^8_mult,phase_basic_clifford_n_basic,24,865,384,465,16,0,0,5.4308624267578125
gf2^9_mult,phase_basic_full_n_basic,27,1866,351,1492,23,0,0,108.17565584182739
gf2^9_mult,phase_basic_clifford_n_basic,27,1065,495,552,18,0,0,5.350890398025513
gf2^10_mult,phase_basic_full_n_basic,30,2202,410,1749,43,0,0,396.9866449832916
gf2^10_mult,phase_basic_clifford_n_basic,30,1306,600,676,30,0,0,14.169983863830566
gf2^16_mult,phase_basic_full_n_basic,48,7576,1040,6482,54,0,0,887.8465166091919
gf2^16_mult,phase_basic_clifford_n_basic,48,3297,1536,1729,32,0,0,208.48503398895264
barenco_tof_3,phase_basic_full_n_basic,5,48,16,26,6,0,0,0.4732341766357422
barenco_tof_3,phase_basic_clifford_n_basic,5,62,24,30,8,0,0,0.09789633750915527
barenco_tof_4,phase_basic_full_n_basic,7,98,28,59,11,0,0,1.7250542640686035
barenco_tof_4,phase_basic_clifford_n_basic,7,123,48,63,12,0,0,0.14449763298034668
barenco_tof_5,phase_basic_full_n_basic,9,145,40,86,19,0,0,3.839024543762207
barenco_tof_5,phase_basic_clifford_n_basic,9,178,72,89,17,0,0,0.21360397338867188
barenco_tof_10,phase_basic_full_n_basic,19,361,100,198,63,0,0,125.39315366744995
barenco_tof_10,phase_basic_clifford_n_basic,19,458,192,224,42,0,0,1.756629467010498
gf2^32_mult,phase_basic_full_n_basic,96,40105,4128,35890,87,0,0,26126.05072426796
gf2^32_mult,phase_basic_clifford_n_basic,96,12806,6144,6598,64,0,0,16511.02516937256
