optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
clifford_look,4,0.0,5000,1000,2622,25,13,12,0,4,9,9,3,17,0.7196657657623291
clifford_look,4,0.0,5000,1001,2615,21,13,8,0,6,7,6,2,11,0.6817150115966797
clifford_look,4,0.0,5000,1002,2583,18,12,6,0,3,9,4,2,10,0.5707955360412598
clifford_look,4,0.04,5000,1000,2576,658,353,305,161,153,39,261,44,480,8.81887173652649
clifford_look,4,0.04,5000,1001,2567,688,383,305,176,168,39,250,55,484,9.797147274017334
clifford_look,4,0.04,5000,1002,2539,658,350,308,164,155,31,258,50,463,4.692838907241821
clifford_look,4,0.08,5000,1000,2532,1127,616,511,288,266,62,443,68,819,8.966092109680176
clifford_look,4,0.08,5000,1001,2533,1196,638,558,307,286,45,466,92,841,8.652119636535645
clifford_look,4,0.08,5000,1002,2496,1195,656,539,315,289,52,460,79,834,8.061806917190552
clifford_look,4,0.12,5000,1000,2495,1379,747,632,364,331,52,508,124,959,9.6666419506073
clifford_look,4,0.12,5000,1001,2484,1440,786,654,380,349,57,555,99,1009,8.600988149642944
clifford_look,4,0.12,5000,1002,2454,1502,814,688,390,359,65,586,102,1053,10.687142133712769
clifford_look,4,0.16,5000,1000,2443,1551,862,689,426,371,65,602,87,1073,11.351938962936401
clifford_look,4,0.16,5000,1001,2442,1721,941,780,465,405,71,653,127,1164,7.530030965805054
clifford_look,4,0.16,5000,1002,2411,1690,932,758,464,397,71,643,115,1167,13.121998071670532
clifford_look,4,0.2,5000,1000,2409,1697,942,755,476,413,53,615,140,1153,8.892412900924683
clifford_look,4,0.2,5000,1001,2380,1693,956,737,471,411,74,624,113,1144,8.599744081497192
clifford_look,4,0.2,5000,1002,2385,1802,991,811,500,427,64,679,132,1220,13.131764650344849
clifford_look,4,0.24,5000,1000,2379,1792,993,799,499,417,77,651,148,1222,10.340298891067505
clifford_look,4,0.24,5000,1001,2345,1772,989,783,499,412,78,654,129,1201,11.675487041473389
clifford_look,4,0.24,5000,1002,2345,1859,1033,826,521,442,70,703,123,1279,13.059581756591797
clifford_look,4,0.28,5000,1000,2307,1820,1044,776,530,438,76,629,147,1224,9.071237802505493
clifford_look,4,0.28,5000,1001,2309,1807,995,812,513,429,53,655,157,1244,9.687243223190308
clifford_look,4,0.28,5000,1002,2324,1934,1097,837,549,453,95,671,166,1300,14.268024444580078
clifford_look,4,0.32,5000,1000,2265,1929,1099,830,569,469,61,691,139,1281,7.754862308502197
clifford_look,4,0.32,5000,1001,2258,1914,1073,841,560,455,58,684,157,1263,6.853858709335327
clifford_look,4,0.32,5000,1002,2275,1900,1061,839,543,451,67,707,132,1293,10.883712530136108
clifford_look,4,0.36,5000,1000,2215,1843,1051,792,555,443,53,660,132,1227,11.42734169960022
clifford_look,4,0.36,5000,1001,2207,1885,1076,809,564,452,60,672,137,1254,5.625876188278198
clifford_look,4,0.36,5000,1002,2234,1916,1105,811,565,472,68,660,151,1271,7.874661445617676
clifford_look,4,0.4,5000,1000,2188,1828,1023,805,529,431,63,659,146,1239,13.126937866210938
clifford_look,4,0.4,5000,1001,2174,1897,1098,799,579,457,62,675,124,1262,6.8612060546875
clifford_look,4,0.4,5000,1002,2178,1824,1053,771,548,450,55,617,154,1191,8.01679539680481
clifford_look,8,0.0,5000,1000,1534,62,27,35,0,12,15,20,15,35,0.8012509346008301
clifford_look,8,0.0,5000,1001,1488,71,36,35,0,14,22,30,5,34,0.9473147392272949
