optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
phase_no_pre,4,0.0,10000,1000,5165,4286,2249,2037,0,881,1368,1741,296,2817,3.6362240314483643
phase_no_pre,4,0.0,10000,1001,5125,4130,2133,1997,0,827,1306,1681,316,2713,3.3477835655212402
phase_no_pre,4,0.0,10000,1002,5119,4218,2228,1990,0,858,1370,1705,285,2760,3.597249746322632
phase_no_pre,4,0.0,10000,1003,5135,4184,2208,1976,0,850,1358,1683,293,2732,3.444125175476074
phase_no_pre,4,0.0,10000,1004,5090,4300,2281,2019,0,916,1365,1696,323,2812,3.500577211380005
phase_no_pre,4,0.04,10000,1000,5091,4449,2422,2027,329,947,1146,1720,307,2879,3.3893325328826904
phase_no_pre,4,0.04,10000,1001,5053,4410,2407,2003,350,926,1131,1696,307,2843,3.73073148727417
phase_no_pre,4,0.04,10000,1002,5039,4428,2486,1942,342,955,1189,1647,295,2797,3.4115467071533203
phase_no_pre,4,0.04,10000,1003,5069,4417,2445,1972,308,918,1219,1689,283,2829,3.6008479595184326
phase_no_pre,4,0.04,10000,1004,5001,4468,2510,1958,338,970,1202,1672,286,2820,3.5634310245513916
phase_no_pre,4,0.08,10000,1000,5011,4614,2629,1985,574,1009,1046,1683,302,2896,3.560088634490967
phase_no_pre,4,0.08,10000,1001,4980,4650,2669,1981,610,1006,1053,1705,276,2951,3.707404613494873
phase_no_pre,4,0.08,10000,1002,4967,4614,2679,1935,609,1023,1047,1642,293,2861,3.4132206439971924
phase_no_pre,4,0.08,10000,1003,4998,4641,2681,1960,563,1005,1113,1696,264,2861,3.4293463230133057
phase_no_pre,4,0.08,10000,1004,4916,4506,2611,1895,586,1012,1013,1607,288,2804,3.5178945064544678
phase_no_pre,4,0.12,10000,1000,4947,4734,2760,1974,733,1065,962,1687,287,2958,3.4526607990264893
phase_no_pre,4,0.12,10000,1001,4888,4692,2760,1932,776,1040,944,1664,268,2895,3.694791793823242
phase_no_pre,4,0.12,10000,1002,4893,4726,2814,1912,757,1079,978,1646,266,2910,3.390028476715088
phase_no_pre,4,0.12,10000,1003,4933,4744,2827,1917,757,1081,989,1630,287,2895,3.592761278152466
phase_no_pre,4,0.12,10000,1004,4851,4626,2755,1871,767,1062,926,1626,245,2798,3.4424850940704346
phase_no_pre,4,0.16,10000,1000,4857,4723,2819,1904,877,1080,862,1638,266,2900,3.4102325439453125
phase_no_pre,4,0.16,10000,1001,4820,4730,2870,1860,928,1112,830,1603,257,2880,3.3017404079437256
phase_no_pre,4,0.16,10000,1002,4807,4728,2876,1852,902,1107,867,1590,262,2862,3.4352288246154785
phase_no_pre,4,0.16,10000,1003,4818,4641,2817,1824,895,1074,848,1592,232,2791,3.4260191917419434
phase_no_pre,4,0.16,10000,1004,4795,4713,2879,1834,922,1111,846,1592,242,2825,3.2125697135925293
phase_no_pre,4,0.2,10000,1000,4771,4711,2879,1832,971,1102,806,1585,247,2865,3.4422500133514404
phase_no_pre,4,0.2,10000,1001,4731,4646,2876,1770,980,1098,798,1536,234,2823,3.3212227821350098
phase_no_pre,4,0.2,10000,1002,4743,4710,2900,1810,964,1113,823,1546,264,2840,3.481621742248535
phase_no_pre,4,0.2,10000,1003,4761,4629,2877,1752,1008,1112,757,1515,237,2688,3.405965566635132
phase_no_pre,4,0.2,10000,1004,4711,4704,2908,1796,991,1130,787,1564,232,2784,3.3137805461883545
phase_no_pre,4,0.24,10000,1000,4693,4751,2966,1785,1039,1123,804,1551,234,2809,3.4269587993621826
phase_no_pre,4,0.24,10000,1001,4649,4566,2855,1711,1023,1087,745,1483,228,2739,3.2093303203582764
phase_no_pre,4,0.24,10000,1002,4672,4710,2953,1757,1024,1133,796,1522,235,2814,3.2986884117126465
phase_no_pre,4,0.24,10000,1003,4675,4587,2866,1721,1049,1101,716,1503,218,2707,3.5441057682037354
phase_no_pre,4,0.24,10000,1004,4637,4636,2906,1730,1036,1123,747,1530,200,2760,3.560861825942993
phase_no_pre,4,0.28,10000,1000,4586,4649,2921,1728,1079,1113,729,1507,221,2786,3.29506516456604
phase_no_pre,4,0.28,10000,1001,4574,4460,2833,1627,1079,1074,680,1428,199,2619,3.14410138130188
phase_no_pre,4,0.28,10000,1002,4600,4644,2935,1709,1090,1110,735,1501,208,2727,3.1076300144195557
