optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
original,4,0.0,10000,1000,5165,10000,6648,3352,0,3316,3332,3352,0,5165,0.0965888500213623
original,4,0.0,10000,1001,5125,10000,6701,3299,0,3405,3296,3299,0,5125,0.055449724197387695
original,4,0.0,10000,1002,5119,10000,6716,3284,0,3337,3379,3284,0,5119,0.05788373947143555
original,4,0.0,10000,1003,5135,10000,6669,3331,0,3256,3413,3331,0,5135,0.05589795112609863
original,4,0.0,10000,1004,5090,10000,6797,3203,0,3439,3358,3203,0,5090,0.09481072425842285
original,4,0.04,10000,1000,5091,10000,6790,3210,397,3176,3217,3210,0,5091,0.05766773223876953
original,4,0.04,10000,1001,5053,10000,6820,3180,416,3275,3129,3180,0,5053,0.05702829360961914
original,4,0.04,10000,1002,5039,10000,6850,3150,394,3221,3235,3150,0,5039,0.057504892349243164
original,4,0.04,10000,1003,5069,10000,6800,3200,378,3137,3285,3200,0,5069,0.09051942825317383
original,4,0.04,10000,1004,5001,10000,6929,3071,392,3324,3213,3071,0,5001,0.05684685707092285
original,4,0.08,10000,1000,5011,10000,6932,3068,762,3017,3153,3068,0,5011,0.0608220100402832
original,4,0.08,10000,1001,4980,10000,6956,3044,808,3155,2993,3044,0,4980,0.05581092834472656
original,4,0.08,10000,1002,4967,10000,6978,3022,807,3078,3093,3022,0,4967,0.10241842269897461
original,4,0.08,10000,1003,4998,10000,6941,3059,807,3009,3125,3059,0,4998,0.055655717849731445
original,4,0.08,10000,1004,4916,10000,7066,2934,798,3199,3069,2934,0,4916,0.05602693557739258
original,4,0.12,10000,1000,4947,10000,7040,2960,1141,2897,3002,2960,0,4947,0.05677986145019531
original,4,0.12,10000,1001,4888,10000,7112,2888,1222,3014,2876,2888,0,4888,0.09264349937438965
original,4,0.12,10000,1002,4893,10000,7107,2893,1195,2967,2945,2893,0,4893,0.05632352828979492
original,4,0.12,10000,1003,4933,10000,7087,2913,1225,2872,2990,2913,0,4933,0.05722832679748535
original,4,0.12,10000,1004,4851,10000,7166,2834,1227,3021,2918,2834,0,4851,0.05495715141296387
original,4,0.16,10000,1000,4857,10000,7189,2811,1551,2785,2853,2811,0,4857,0.08906316757202148
original,4,0.16,10000,1001,4820,10000,7230,2770,1632,2900,2698,2770,0,4820,0.05587339401245117
original,4,0.16,10000,1002,4807,10000,7246,2754,1612,2839,2795,2754,0,4807,0.05558443069458008
original,4,0.16,10000,1003,4818,10000,7246,2754,1661,2714,2871,2754,0,4818,0.05623602867126465
original,4,0.16,10000,1004,4795,10000,7271,2729,1626,2883,2762,2729,0,4795,0.09208059310913086
original,4,0.2,10000,1000,4771,10000,7359,2641,1965,2666,2728,2641,0,4771,0.05520939826965332
original,4,0.2,10000,1001,4731,10000,7371,2629,1978,2758,2635,2629,0,4731,0.05792999267578125
original,4,0.2,10000,1002,4743,10000,7361,2639,1968,2688,2705,2639,0,4743,0.09691333770751953
original,4,0.2,10000,1003,4761,10000,7369,2631,2070,2573,2726,2631,0,4761,0.057419776916503906
original,4,0.2,10000,1004,4711,10000,7410,2590,2019,2754,2637,2590,0,4711,0.05798959732055664
original,4,0.24,10000,1000,4693,10000,7489,2511,2365,2543,2581,2511,0,4693,0.056587934494018555
original,4,0.24,10000,1001,4649,10000,7493,2507,2371,2619,2503,2507,0,4649,0.08995985984802246
original,4,0.24,10000,1002,4672,10000,7475,2525,2370,2532,2573,2525,0,4672,0.05733060836791992
original,4,0.24,10000,1003,4675,10000,7531,2469,2473,2458,2600,2469,0,4675,0.05599021911621094
original,4,0.24,10000,1004,4637,10000,7529,2471,2400,2613,2516,2471,0,4637,0.0571293830871582
original,4,0.28,10000,1000,4586,10000,7624,2376,2753,2397,2474,2376,0,4586,0.0950932502746582
original,4,0.28,10000,1001,4574,10000,7625,2375,2729,2474,2422,2375,0,4574,0.05863785743713379
original,4,0.28,10000,1002,4600,10000,7602,2398,2770,2383,2449,2398,0,4600,0.057993173599243164
original,4,0.28,10000,1003,4585,10000,7667,2333,2857,2336,2474,2333,0,4585,0.05919599533081055
original,4,0.28,10000,1004,4584,10000,7635,2365,2780,2481,2374,2365,0,4584,0.09641480445861816
original,4,0.32,10000,1000,4521,10000,7760,2240,3196,2271,2293,2240,0,4521,0.05810809135437012
