optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
original,4,0.0,5000,1000,2622,5000,3278,1722,0,1633,1645,1722,0,2622,0.033101558685302734
original,4,0.0,5000,1001,2615,5000,3333,1667,0,1702,1631,1667,0,2615,0.029905080795288086
original,4,0.0,5000,1002,2583,5000,3354,1646,0,1653,1701,1646,0,2583,0.02855658531188965
original,4,0.04,5000,1000,2576,5000,3359,1641,197,1561,1601,1641,0,2576,0.027461528778076172
original,4,0.04,5000,1001,2567,5000,3406,1594,204,1643,1559,1594,0,2567,0.0276029109954834
original,4,0.04,5000,1002,2539,5000,3417,1583,194,1594,1629,1583,0,2539,0.02882528305053711
original,4,0.08,5000,1000,2532,5000,3428,1572,374,1479,1575,1572,0,2532,0.027564287185668945
original,4,0.08,5000,1001,2533,5000,3478,1522,403,1585,1490,1522,0,2533,0.05792379379272461
original,4,0.08,5000,1002,2496,5000,3489,1511,385,1528,1576,1511,0,2496,0.028658628463745117
original,4,0.12,5000,1000,2495,5000,3480,1520,540,1419,1521,1520,0,2495,0.0293276309967041
original,4,0.12,5000,1001,2484,5000,3551,1449,604,1501,1446,1449,0,2484,0.028191566467285156
original,4,0.12,5000,1002,2454,5000,3557,1443,582,1465,1510,1443,0,2454,0.027570724487304688
original,4,0.16,5000,1000,2443,5000,3568,1432,754,1373,1441,1432,0,2443,0.028899431228637695
original,4,0.16,5000,1001,2442,5000,3614,1386,817,1435,1362,1386,0,2442,0.027800798416137695
original,4,0.16,5000,1002,2411,5000,3625,1375,800,1393,1432,1375,0,2411,0.029563426971435547
original,4,0.2,5000,1000,2409,5000,3642,1358,950,1302,1390,1358,0,2409,0.05512738227844238
original,4,0.2,5000,1001,2380,5000,3691,1309,995,1376,1320,1309,0,2380,0.02801036834716797
original,4,0.2,5000,1002,2385,5000,3682,1318,980,1314,1388,1318,0,2385,0.02843308448791504
original,4,0.24,5000,1000,2379,5000,3699,1301,1147,1251,1301,1301,0,2379,0.027823925018310547
original,4,0.24,5000,1001,2345,5000,3753,1247,1193,1317,1243,1247,0,2345,0.029976844787597656
original,4,0.24,5000,1002,2345,5000,3739,1261,1181,1223,1335,1261,0,2345,0.028328657150268555
original,4,0.28,5000,1000,2307,5000,3781,1219,1366,1182,1233,1219,0,2307,0.028735876083374023
