optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
basic,q4_gates100_pt0.0_seeds1000,68,49,0,14,19,26,9,0.0026264190673828125
basic,q4_gates100_pt0.04_seeds1000,69,49,4,15,18,23,9,0.0031273365020751953
basic,q4_gates100_pt0.08_seeds1000,65,43,8,15,13,21,8,0.004224300384521484
basic,q4_gates100_pt0.12_seeds1000,66,43,10,15,12,21,8,0.00299072265625
basic,q4_gates100_pt0.16_seeds1000,61,38,10,16,12,17,6,0.0025708675384521484
basic,q4_gates100_pt0.2_seeds1000,56,34,9,15,10,17,5,0.0022246837615966797
basic,q4_gates100_pt0.24_seeds1000,57,35,10,13,9,21,4,0.00274658203125
basic,q4_gates100_pt0.28_seeds1000,54,33,7,12,11,21,3,0.0025420188903808594
basic,q4_gates100_pt0.32_seeds1000,51,31,10,12,8,17,4,0.0019271373748779297
basic,q4_gates100_pt0.36_seeds1000,48,32,9,8,9,18,4,0.0025167465209960938
basic,q4_gates100_pt0.4_seeds1000,57,31,11,11,12,20,3,0.002320528030395508
basic,q4_gates500_pt0.0_seeds1000,252,172,0,52,75,106,19,0.017704486846923828
basic,q4_gates500_pt0.04_seeds1000,254,164,19,53,60,105,17,0.015846967697143555
basic,q4_gates500_pt0.08_seeds1000,264,165,37,60,51,96,20,0.01241159439086914
basic,q4_gates500_pt0.12_seeds1000,264,155,39,60,56,93,16,0.014903783798217773
basic,q4_gates500_pt0.16_seeds1000,255,147,44,60,50,85,16,0.014740705490112305
basic,q4_gates500_pt0.2_seeds1000,237,134,50,56,34,77,20,0.01455235481262207
basic,q4_gates500_pt0.24_seeds1000,228,130,48,51,32,79,18,0.01201009750366211
basic,q4_gates500_pt0.28_seeds1000,245,138,57,56,34,81,17,0.01270294189453125
basic,q4_gates500_pt0.32_seeds1000,223,134,51,54,28,77,13,0.009504079818725586
basic,q4_gates500_pt0.36_seeds1000,220,131,49,48,32,80,11,0.012152671813964844
basic,q4_gates500_pt0.4_seeds1000,216,129,49,48,33,76,10,0.05093669891357422
basic,q4_gates1000_pt0.0_seeds1000,466,313,0,92,138,197,39,0.052759647369384766
basic,q4_gates1000_pt0.04_seeds1000,477,327,36,99,107,190,45,0.034087181091308594
basic,q4_gates1000_pt0.08_seeds1000,493,320,64,104,98,192,35,0.02895188331604004
basic,q4_gates1000_pt0.12_seeds1000,493,317,75,106,96,182,34,0.029500246047973633
basic,q4_gates1000_pt0.16_seeds1000,508,307,98,112,89,181,28,0.03292536735534668
basic,q4_gates1000_pt0.2_seeds1000,505,305,100,112,80,178,35,0.030544281005859375
basic,q4_gates1000_pt0.24_seeds1000,482,282,101,106,76,171,28,0.03453969955444336
basic,q4_gates1000_pt0.28_seeds1000,500,290,111,115,76,168,30,0.02972102165222168
basic,q4_gates1000_pt0.32_seeds1000,492,306,119,115,64,168,26,0.02754950523376465
basic,q4_gates1000_pt0.36_seeds1000,450,265,116,107,63,145,19,0.06294131278991699
basic,q4_gates1000_pt0.4_seeds1000,439,256,119,103,58,140,19,0.026646852493286133
basic,q4_gates2000_pt0.0_seeds1000,874,592,0,180,261,360,73,0.08934760093688965
basic,q4_gates2000_pt0.04_seeds1000,913,608,67,187,230,355,74,0.0931401252746582
basic,q4_gates2000_pt0.08_seeds1000,933,598,121,194,203,350,65,0.07815909385681152
basic,q4_gates2000_pt0.12_seeds1000,953,588,153,201,187,352,60,0.10186958312988281
basic,q4_gates2000_pt0.16_seeds1000,989,580,193,223,179,346,48,0.08145880699157715
basic,q4_gates2000_pt0.2_seeds1000,962,574,206,219,146,339,52,0.06853318214416504
basic,q4_gates2000_pt0.24_seeds1000,941,550,204,211,150,329,47,0.07942056655883789
basic,q4_gates2000_pt0.28_seeds1000,929,553,219,218,134,306,52,0.09871888160705566
basic,q4_gates2000_pt0.32_seeds1000,934,574,232,219,126,306,51,0.06915473937988281
basic,q4_gates2000_pt0.36_seeds1000,855,512,223,197,115,282,38,0.07654714584350586
basic,q4_gates2000_pt0.4_seeds1000,850,491,223,197,116,276,38,0.07544302940368652
basic,q4_gates5000_pt0.0_seeds1000,2150,1386,0,443,669,879,159,0.4223630428314209
basic,q4_gates5000_pt0.04_seeds1000,2221,1452,167,474,548,858,174,0.33139634132385254
basic,q4_gates5000_pt0.08_seeds1000,2353,1508,294,514,521,841,183,0.2877345085144043
basic,q4_gates5000_pt0.12_seeds1000,2378,1476,370,527,481,847,153,0.33273911476135254
basic,q4_gates5000_pt0.16_seeds1000,2386,1461,432,537,448,824,145,0.36190223693847656
basic,q4_gates5000_pt0.2_seeds1000,2360,1413,478,536,400,811,135,0.30049729347229004
basic,q4_gates5000_pt0.24_seeds1000,2359,1394,505,536,397,791,130,0.34101176261901855
basic,q4_gates5000_pt0.28_seeds1000,2325,1369,542,545,358,758,122,0.343275785446167
basic,q4_gates5000_pt0.32_seeds1000,2326,1390,583,562,329,750,102,0.35924625396728516
basic,q4_gates5000_pt0.36_seeds1000,2158,1304,565,508,290,694,101,0.3219900131225586
basic,q4_gates5000_pt0.4_seeds1000,2074,1231,537,494,289,659,95,0.3259613513946533
basic,q4_gates10000_pt0.0_seeds1000,4286,2817,0,881,1368,1741,296,1.1260631084442139
basic,q4_gates10000_pt0.04_seeds1000,4493,2904,337,957,1155,1715,329,1.0047917366027832
basic,q4_gates10000_pt0.08_seeds1000,4605,2888,584,1008,1030,1689,294,1.1596455574035645
basic,q4_gates10000_pt0.12_seeds1000,4750,2953,747,1067,952,1694,290,1.1659882068634033
basic,q4_gates10000_pt0.16_seeds1000,4722,2899,889,1086,847,1638,262,1.1615362167358398
basic,q4_gates10000_pt0.2_seeds1000,4731,2853,987,1101,802,1579,262,1.0192773342132568
basic,q4_gates10000_pt0.24_seeds1000,4751,2824,1063,1122,779,1557,230,1.2498903274536133
basic,q4_gates10000_pt0.28_seeds1000,4661,2753,1109,1117,705,1503,227,1.162003517150879
basic,q4_gates10000_pt0.32_seeds1000,4565,2682,1158,1122,637,1451,197,1.1857454776763916
basic,q4_gates10000_pt0.36_seeds1000,4330,2557,1148,1048,584,1376,174,1.1592199802398682
basic,q4_gates10000_pt0.4_seeds1000,4203,2455,1116,1035,562,1311,179,1.1480460166931152
basic,q4_gates50000_pt0.0_seeds1000,21156,13851,0,4302,6809,8526,1519,27.079023122787476
basic,q4_gates50000_pt0.04_seeds1000,22255,14245,1717,4702,5852,8497,1487,26.413738489151
basic,q4_gates50000_pt0.08_seeds1000,23039,14397,2956,5035,5161,8372,1515,24.241138458251953
basic,q4_gates50000_pt0.12_seeds1000,23439,14435,3868,5242,4676,8272,1381,27.387702703475952
basic,q4_gates50000_pt0.16_seeds1000,23536,14265,4502,5377,4285,8080,1292,31.49517846107483
basic,q4_gates50000_pt0.2_seeds1000,23609,14143,5011,5485,3980,7953,1180,29.99904465675354
basic,q4_gates50000_pt0.24_seeds1000,23337,13932,5319,5501,3738,7716,1063,26.568175554275513
