optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
basic,q4_gates100_pt0.0_seeds1002,58,36,0,9,18,30,1,0.004678964614868164
basic,q4_gates100_pt0.04_seeds1002,55,36,4,8,15,28,0,0.0023813247680664062
basic,q4_gates100_pt0.08_seeds1002,59,35,8,10,14,25,2,0.0021500587463378906
basic,q4_gates100_pt0.12_seeds1002,63,40,15,12,7,25,4,0.0017638206481933594
basic,q4_gates100_pt0.16_seeds1002,58,36,16,13,7,18,4,0.0018303394317626953
basic,q4_gates100_pt0.2_seeds1002,62,36,18,15,7,17,5,0.0025331974029541016
basic,q4_gates100_pt0.24_seeds1002,59,35,16,15,8,16,4,0.0018608570098876953
basic,q4_gates100_pt0.28_seeds1002,62,39,14,13,9,24,2,0.002450704574584961
basic,q4_gates100_pt0.32_seeds1002,60,38,14,13,8,22,3,0.0028846263885498047
basic,q4_gates100_pt0.36_seeds1002,56,36,14,11,6,23,2,0.0023126602172851562
basic,q4_gates100_pt0.4_seeds1002,55,31,12,14,8,17,4,0.0020771026611328125
basic,q4_gates500_pt0.0_seeds1002,230,153,0,46,73,93,18,0.013270378112792969
basic,q4_gates500_pt0.04_seeds1002,231,137,23,51,57,89,11,0.015858173370361328
basic,q4_gates500_pt0.08_seeds1002,239,147,47,48,42,87,15,0.011349678039550781
basic,q4_gates500_pt0.12_seeds1002,257,153,56,62,38,86,15,0.011408329010009766
basic,q4_gates500_pt0.16_seeds1002,255,148,56,62,37,84,16,0.011134147644042969
basic,q4_gates500_pt0.2_seeds1002,258,149,58,63,39,89,9,0.011492013931274414
basic,q4_gates500_pt0.24_seeds1002,243,138,59,60,35,80,9,0.013408899307250977
basic,q4_gates500_pt0.28_seeds1002,247,145,58,59,40,79,11,0.012456655502319336
basic,q4_gates500_pt0.32_seeds1002,225,132,55,57,28,74,11,0.011464595794677734
basic,q4_gates500_pt0.36_seeds1002,223,123,59,53,32,75,4,0.011389017105102539
basic,q4_gates500_pt0.4_seeds1002,220,120,57,56,33,68,6,0.010765552520751953
basic,q4_gates1000_pt0.0_seeds1002,504,324,0,106,165,198,35,0.029716014862060547
basic,q4_gates1000_pt0.04_seeds1002,492,310,33,105,134,193,27,0.03202486038208008
basic,q4_gates1000_pt0.08_seeds1002,505,306,76,109,105,185,30,0.03534364700317383
basic,q4_gates1000_pt0.12_seeds1002,509,321,90,122,90,176,31,0.030742645263671875
basic,q4_gates1000_pt0.16_seeds1002,511,302,97,124,86,176,28,0.027213573455810547
basic,q4_gates1000_pt0.2_seeds1002,496,295,104,121,75,171,25,0.05576038360595703
basic,q4_gates1000_pt0.24_seeds1002,479,281,112,117,69,159,22,0.033539772033691406
basic,q4_gates1000_pt0.28_seeds1002,476,272,112,116,73,155,20,0.032413482666015625
basic,q4_gates1000_pt0.32_seeds1002,433,263,105,107,53,143,25,0.027807950973510742
basic,q4_gates1000_pt0.36_seeds1002,421,242,99,99,63,141,19,0.025713443756103516
basic,q4_gates1000_pt0.4_seeds1002,422,248,104,103,62,135,18,0.026271581649780273
basic,q4_gates2000_pt0.0_seeds1002,884,581,0,180,284,367,53,0.10211181640625
basic,q4_gates2000_pt0.04_seeds1002,921,590,61,192,244,366,58,0.0837559700012207
basic,q4_gates2000_pt0.08_seeds1002,949,599,124,201,212,350,62,0.09938335418701172
basic,q4_gates2000_pt0.12_seeds1002,971,611,156,225,190,341,59,0.0858004093170166
basic,q4_gates2000_pt0.16_seeds1002,960,601,181,226,164,334,55,0.07685708999633789
basic,q4_gates2000_pt0.2_seeds1002,967,607,203,226,149,330,59,0.07334780693054199
basic,q4_gates2000_pt0.24_seeds1002,947,572,208,223,152,317,47,0.08820676803588867
basic,q4_gates2000_pt0.28_seeds1002,929,550,206,215,153,314,41,0.07802319526672363
basic,q4_gates2000_pt0.32_seeds1002,886,525,205,210,129,296,46,0.07507920265197754
basic,q4_gates2000_pt0.36_seeds1002,847,498,208,202,123,278,36,0.07489991188049316
basic,q4_gates2000_pt0.4_seeds1002,823,486,215,200,115,253,40,0.09602975845336914
basic,q4_gates5000_pt0.0_seeds1002,2130,1385,0,437,673,858,162,0.2866702079772949
basic,q4_gates5000_pt0.04_seeds1002,2200,1424,166,472,581,827,154,0.34557318687438965
basic,q4_gates5000_pt0.08_seeds1002,2308,1450,317,511,511,830,139,0.4255690574645996
basic,q4_gates5000_pt0.12_seeds1002,2378,1478,396,551,473,809,149,0.3333256244659424
basic,q4_gates5000_pt0.16_seeds1002,2395,1470,474,560,423,803,135,0.30724215507507324
basic,q4_gates5000_pt0.2_seeds1002,2424,1458,514,574,413,795,128,0.34423041343688965
basic,q4_gates5000_pt0.24_seeds1002,2369,1403,537,568,387,772,105,0.3841285705566406
basic,q4_gates5000_pt0.28_seeds1002,2330,1380,561,547,361,763,98,0.35994410514831543
basic,q4_gates5000_pt0.32_seeds1002,2243,1338,553,541,329,715,105,0.3034813404083252
basic,q4_gates5000_pt0.36_seeds1002,2192,1273,571,536,312,700,73,0.32474231719970703
basic,q4_gates5000_pt0.4_seeds1002,2085,1205,556,515,294,645,75,0.31630492210388184
basic,q4_gates10000_pt0.0_seeds1002,4218,2760,0,858,1370,1705,285,1.234773874282837
basic,q4_gates10000_pt0.04_seeds1002,4429,2806,346,957,1183,1649,294,1.1979613304138184
basic,q4_gates10000_pt0.08_seeds1002,4603,2873,621,1020,1038,1644,280,1.0241448879241943
basic,q4_gates10000_pt0.12_seeds1002,4708,2920,777,1077,960,1623,271,1.0982255935668945
basic,q4_gates10000_pt0.16_seeds1002,4749,2832,928,1109,861,1604,247,1.0802998542785645
basic,q4_gates10000_pt0.2_seeds1002,4737,2835,990,1118,803,1561,265,1.0479803085327148
