optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
clifford_simp,q4_gates100_pt0.0_seeds1001,20,13,0,4,8,7,1,0.015528678894042969
clifford_simp,q4_gates100_pt0.04_seeds1001,23,16,1,6,6,7,3,0.007565975189208984
clifford_simp,q4_gates100_pt0.08_seeds1001,36,19,6,11,6,11,2,0.006376743316650391
clifford_simp,q4_gates100_pt0.12_seeds1001,31,22,4,10,5,7,5,0.006419658660888672
clifford_simp,q4_gates100_pt0.16_seeds1001,51,30,8,10,13,17,3,0.006512641906738281
clifford_simp,q4_gates100_pt0.2_seeds1001,45,25,12,11,4,16,2,0.006587505340576172
clifford_simp,q4_gates100_pt0.24_seeds1001,54,36,13,13,3,21,4,0.006198883056640625
clifford_simp,q4_gates100_pt0.28_seeds1001,57,41,12,15,4,19,7,0.007482767105102539
clifford_simp,q4_gates100_pt0.32_seeds1001,68,46,17,13,2,28,8,0.007854461669921875
clifford_simp,q4_gates100_pt0.36_seeds1001,55,37,16,10,6,18,5,0.007260322570800781
clifford_simp,q4_gates100_pt0.4_seeds1001,54,37,13,10,5,22,4,0.007197380065917969
clifford_simp,q4_gates500_pt0.0_seeds1001,17,12,0,3,6,7,1,0.022093534469604492
clifford_simp,q4_gates500_pt0.04_seeds1001,57,38,11,15,9,20,2,0.02662062644958496
clifford_simp,q4_gates500_pt0.08_seeds1001,153,108,36,37,4,62,14,0.02766728401184082
clifford_simp,q4_gates500_pt0.12_seeds1001,167,123,42,42,7,62,14,0.030452489852905273
clifford_simp,q4_gates500_pt0.16_seeds1001,188,149,46,45,5,82,10,0.0335843563079834
clifford_simp,q4_gates500_pt0.2_seeds1001,198,141,49,42,14,79,14,0.03361392021179199
clifford_simp,q4_gates500_pt0.24_seeds1001,201,140,51,50,7,69,24,0.034539222717285156
clifford_simp,q4_gates500_pt0.28_seeds1001,196,138,48,42,14,81,11,0.031012773513793945
clifford_simp,q4_gates500_pt0.32_seeds1001,190,130,50,41,6,72,21,0.027640819549560547
clifford_simp,q4_gates500_pt0.36_seeds1001,233,172,67,50,13,91,12,0.03276419639587402
clifford_simp,q4_gates500_pt0.4_seeds1001,216,154,58,45,8,92,13,0.03196883201599121
clifford_simp,q4_gates1000_pt0.0_seeds1001,27,13,0,7,12,7,1,0.05394458770751953
clifford_simp,q4_gates1000_pt0.04_seeds1001,118,84,28,32,7,36,15,0.05883073806762695
clifford_simp,q4_gates1000_pt0.08_seeds1001,277,203,69,63,6,112,27,0.06927132606506348
clifford_simp,q4_gates1000_pt0.12_seeds1001,307,221,81,77,8,112,29,0.06731343269348145
clifford_simp,q4_gates1000_pt0.16_seeds1001,389,270,101,90,9,148,41,0.07231831550598145
clifford_simp,q4_gates1000_pt0.2_seeds1001,363,261,103,89,8,140,23,0.06813859939575195
clifford_simp,q4_gates1000_pt0.24_seeds1001,430,302,117,112,10,156,35,0.06898236274719238
clifford_simp,q4_gates1000_pt0.28_seeds1001,403,288,103,96,20,147,37,0.07117795944213867
clifford_simp,q4_gates1000_pt0.32_seeds1001,387,273,101,88,15,136,47,0.061078548431396484
clifford_simp,q4_gates1000_pt0.36_seeds1001,422,294,119,102,13,159,29,0.062218666076660156
clifford_simp,q4_gates1000_pt0.4_seeds1001,385,261,107,90,19,141,28,0.06806015968322754
clifford_simp,q4_gates2000_pt0.0_seeds1001,21,17,0,4,6,11,0,0.17507147789001465
clifford_simp,q4_gates2000_pt0.04_seeds1001,283,206,70,69,15,111,18,0.14046955108642578
clifford_simp,q4_gates2000_pt0.08_seeds1001,512,378,128,123,14,199,48,0.16304922103881836
clifford_simp,q4_gates2000_pt0.12_seeds1001,637,461,167,155,19,239,57,0.18262195587158203
clifford_simp,q4_gates2000_pt0.16_seeds1001,757,541,202,176,18,289,72,0.15091347694396973
clifford_simp,q4_gates2000_pt0.2_seeds1001,737,532,200,171,24,279,63,0.1894547939300537
clifford_simp,q4_gates2000_pt0.24_seeds1001,768,524,217,180,33,283,55,0.15529251098632812
clifford_simp,q4_gates2000_pt0.28_seeds1001,763,512,200,202,16,271,74,0.1639564037322998
clifford_simp,q4_gates2000_pt0.32_seeds1001,768,514,215,179,22,293,59,0.19785547256469727
clifford_simp,q4_gates2000_pt0.36_seeds1001,783,545,225,178,29,285,66,0.1713545322418213
clifford_simp,q4_gates2000_pt0.4_seeds1001,768,533,223,176,28,291,50,0.15718650817871094
clifford_simp,q4_gates5000_pt0.0_seeds1001,21,11,0,6,7,6,2,0.46634387969970703
clifford_simp,q4_gates5000_pt0.04_seeds1001,698,519,176,166,34,262,60,0.46336841583251953
clifford_simp,q4_gates5000_pt0.08_seeds1001,1233,889,307,298,31,495,102,0.5771329402923584
clifford_simp,q4_gates5000_pt0.12_seeds1001,1464,1045,380,353,39,595,97,0.5985984802246094
clifford_simp,q4_gates5000_pt0.16_seeds1001,1761,1238,467,406,65,686,137,0.5955541133880615
clifford_simp,q4_gates5000_pt0.2_seeds1001,1714,1181,473,405,66,633,137,0.6285607814788818
clifford_simp,q4_gates5000_pt0.24_seeds1001,1790,1221,499,406,77,673,135,0.6275818347930908
clifford_simp,q4_gates5000_pt0.28_seeds1001,1839,1275,513,437,43,693,153,0.5563440322875977
clifford_simp,q4_gates5000_pt0.32_seeds1001,1945,1345,558,461,50,738,138,0.667682409286499
clifford_simp,q4_gates5000_pt0.36_seeds1001,1892,1300,564,446,60,706,116,0.70157790184021
clifford_simp,q4_gates5000_pt0.4_seeds1001,1923,1282,577,458,74,681,133,0.6471490859985352
clifford_simp,q4_gates10000_pt0.0_seeds1001,20,14,0,5,6,6,3,1.2500412464141846
clifford_simp,q4_gates10000_pt0.04_seeds1001,1426,1067,350,330,73,563,110,1.4079458713531494
clifford_simp,q4_gates10000_pt0.08_seeds1001,2394,1741,612,563,82,960,177,1.7200696468353271
clifford_simp,q4_gates10000_pt0.12_seeds1001,2994,2131,784,704,100,1171,235,1.9007530212402344
clifford_simp,q4_gates10000_pt0.16_seeds1001,3435,2392,936,799,135,1299,266,1.9457335472106934
clifford_simp,q4_gates10000_pt0.2_seeds1001,3582,2463,988,870,108,1366,250,1.7280397415161133
clifford_simp,q4_gates10000_pt0.24_seeds1001,3722,2589,1033,880,127,1396,286,1.7608351707458496
clifford_simp,q4_gates10000_pt0.28_seeds1001,3834,2615,1087,910,105,1443,289,1.9529588222503662
clifford_simp,q4_gates10000_pt0.32_seeds1001,3856,2618,1134,922,117,1397,286,1.9118189811706543
clifford_simp,q4_gates10000_pt0.36_seeds1001,3880,2582,1164,936,117,1403,260,1.9391286373138428
clifford_simp,q4_gates10000_pt0.4_seeds1001,3764,2509,1115,898,123,1348,280,1.9131762981414795
clifford_simp,q4_gates50000_pt0.0_seeds1001,24,15,0,5,10,7,2,25.11144208908081
clifford_simp,q4_gates50000_pt0.04_seeds1001,6502,4842,1636,1525,326,2647,368,28.733757495880127
clifford_simp,q4_gates50000_pt0.08_seeds1001,11160,8061,2887,2636,468,4458,711,29.444926738739014
clifford_simp,q4_gates50000_pt0.12_seeds1001,14381,10220,3820,3327,583,5635,1016,32.3878812789917
clifford_simp,q4_gates50000_pt0.16_seeds1001,16820,11917,4543,3882,670,6599,1126,33.147512674331665
clifford_simp,q4_gates50000_pt0.2_seeds1001,17876,12462,4973,4237,598,6933,1135,36.458574295043945
clifford_simp,q4_gates50000_pt0.24_seeds1001,18762,12993,5291,4401,645,7246,1179,36.00300097465515
clifford_simp,q4_gates50000_pt0.28_seeds1001,19191,13116,5500,4542,710,7122,1317,33.54936099052429
clifford_simp,q4_gates50000_pt0.32_seeds1001,19187,13041,5576,4575,591,7194,1251,34.39085388183594
clifford_simp,q4_gates50000_pt0.36_seeds1001,18999,12833,5659,4515,589,6983,1253,36.563409090042114
clifford_simp,q4_gates50000_pt0.4_seeds1001,18694,12655,5608,4472,615,6740,1259,37.346309185028076
clifford_simp,q8_gates100_pt0.0_seeds1001,62,31,0,11,13,23,15,0.0121002197265625
clifford_simp,q8_gates100_pt0.04_seeds1001,80,38,1,17,17,34,11,0.009535551071166992
clifford_simp,q8_gates100_pt0.08_seeds1001,98,58,6,15,17,39,21,0.01163029670715332
clifford_simp,q8_gates100_pt0.12_seeds1001,82,39,7,16,14,35,10,0.009721517562866211
clifford_simp,q8_gates100_pt0.16_seeds1001,81,36,8,11,17,25,20,0.012788772583007812
clifford_simp,q8_gates100_pt0.2_seeds1001,82,45,10,12,13,30,17,0.011350870132446289
clifford_simp,q8_gates100_pt0.24_seeds1001,76,45,13,9,10,31,13,0.010729551315307617
clifford_simp,q8_gates100_pt0.28_seeds1001,65,30,13,10,4,32,6,0.009048938751220703
clifford_simp,q8_gates100_pt0.32_seeds1001,90,43,14,12,14,39,11,0.012835264205932617
clifford_simp,q8_gates100_pt0.36_seeds1001,92,47,15,15,13,35,14,0.009832382202148438
clifford_simp,q8_gates100_pt0.4_seeds1001,79,43,14,12,3,39,11,0.009224891662597656
clifford_simp,q8_gates500_pt0.0_seeds1001,70,36,0,14,11,33,12,0.0449373722076416
clifford_simp,q8_gates500_pt0.04_seeds1001,140,87,11,25,21,49,34,0.049021005630493164
clifford_simp,q8_gates500_pt0.08_seeds1001,237,133,31,39,16,114,37,0.0541079044342041
clifford_simp,q8_gates500_pt0.12_seeds1001,294,198,40,49,18,120,67,0.055303335189819336
clifford_simp,q8_gates500_pt0.16_seeds1001,310,185,44,43,23,129,71,0.056185245513916016
clifford_simp,q8_gates500_pt0.2_seeds1001,320,180,49,48,21,150,52,0.06184530258178711
clifford_simp,q8_gates500_pt0.24_seeds1001,335,190,57,51,20,155,52,0.05639815330505371
clifford_simp,q8_gates500_pt0.28_seeds1001,352,204,65,56,27,151,53,0.055570125579833984
clifford_simp,q8_gates500_pt0.32_seeds1001,383,224,68,60,23,152,80,0.07484316825866699
clifford_simp,q8_gates500_pt0.36_seeds1001,359,188,72,56,21,140,70,0.06115365028381348
clifford_simp,q8_gates500_pt0.4_seeds1001,343,202,68,62,8,140,65,0.05360722541809082
clifford_simp,q8_gates1000_pt0.0_seeds1001,70,33,0,11,14,35,10,0.08383941650390625
clifford_simp,q8_gates1000_pt0.04_seeds1001,253,161,28,39,26,108,52,0.10822820663452148
clifford_simp,q8_gates1000_pt0.08_seeds1001,433,287,64,69,25,171,104,0.14604687690734863
clifford_simp,q8_gates1000_pt0.12_seeds1001,555,355,84,83,21,247,120,0.1226189136505127
clifford_simp,q8_gates1000_pt0.16_seeds1001,571,335,96,92,22,262,99,0.12439298629760742
