optimize_name,data_name,gates,depth,t,H,otherRZ,CNOT,CZ,time
original,q4_gates100_pt0.0_seeds1002,100,52,0,32,32,36,0,0.002185821533203125
original,q4_gates100_pt0.04_seeds1002,100,51,6,30,30,34,0,0.00015091896057128906
original,q4_gates100_pt0.08_seeds1002,100,51,10,28,30,32,0,0.0001246929168701172
original,q4_gates100_pt0.12_seeds1002,100,51,17,28,24,31,0,0.00012421607971191406
original,q4_gates100_pt0.16_seeds1002,100,50,22,28,22,28,0,0.0001227855682373047
original,q4_gates100_pt0.2_seeds1002,100,50,22,26,24,28,0,0.0001533031463623047
original,q4_gates100_pt0.24_seeds1002,100,48,26,24,24,26,0,0.00013184547424316406
original,q4_gates100_pt0.28_seeds1002,100,48,30,23,22,25,0,0.00013303756713867188
original,q4_gates100_pt0.32_seeds1002,100,48,32,21,22,25,0,0.0001366138458251953
original,q4_gates100_pt0.36_seeds1002,100,49,36,19,20,25,0,0.00013327598571777344
original,q4_gates100_pt0.4_seeds1002,100,49,40,21,17,22,0,0.0001437664031982422
original,q4_gates500_pt0.0_seeds1002,500,255,0,168,159,173,0,0.0006263256072998047
original,q4_gates500_pt0.04_seeds1002,500,248,27,161,151,161,0,0.0023746490478515625
original,q4_gates500_pt0.08_seeds1002,500,244,53,148,145,154,0,0.0006010532379150391
original,q4_gates500_pt0.12_seeds1002,500,241,74,141,138,147,0,0.00063323974609375
original,q4_gates500_pt0.16_seeds1002,500,238,88,129,138,145,0,0.00063323974609375
original,q4_gates500_pt0.2_seeds1002,500,236,98,124,138,140,0,0.0006403923034667969
original,q4_gates500_pt0.24_seeds1002,500,232,115,115,134,136,0,0.0006442070007324219
original,q4_gates500_pt0.28_seeds1002,500,233,138,110,122,130,0,0.0006535053253173828
original,q4_gates500_pt0.32_seeds1002,500,230,167,101,115,117,0,0.00070953369140625
original,q4_gates500_pt0.36_seeds1002,500,230,185,89,114,112,0,0.0007245540618896484
original,q4_gates500_pt0.4_seeds1002,500,228,201,90,103,106,0,0.0006909370422363281
original,q4_gates1000_pt0.0_seeds1002,1000,518,0,333,314,353,0,0.0012965202331542969
original,q4_gates1000_pt0.04_seeds1002,1000,506,43,318,304,335,0,0.00138092041015625
original,q4_gates1000_pt0.08_seeds1002,1000,490,92,300,289,319,0,0.0011696815490722656
original,q4_gates1000_pt0.12_seeds1002,1000,481,126,287,282,305,0,0.0016324520111083984
